Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason
aptian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,Aptian is a geological age of the Early Cretaceous epoch,ACCEPTED,Valid.
fracture,Geological Structure,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,cementation,domain_term,0.8,cemented by minerals such as silica,ACCEPTED,Valid.
fracture,Geological Structure,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,1.0,may be enhanced by dissolution,ACCEPTED,Valid.
ariri formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,1.0,"composed of a thick, stratified sequence of halite, anhydrite, and other salts",ACCEPTED,Valid.
ariri formation,Formation,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,1.0,"composed of a thick, stratified sequence of halite, anhydrite, and other salts",ACCEPTED,Valid.
permeability,Dimension,inheres_in,http://purl.obolibrary.org/obo/BFO_0000197,rock,domain_term,1.0,petrophysical property that measures the capacity of a porous rock,ACCEPTED,Valid.
lacustrine carbonate,Sedimentary Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine environment,domain_term,1.0,"formed by chemical, biochemical, or detrital processes within a lake environment",ACCEPTED,Valid.
lacustrine carbonate,Sedimentary Rock,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,shrub,domain_term,1.0,"characterized by unusual textures, such as shrubs",ACCEPTED,Valid.
mudstone,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,carbonate mud,domain_term,1.0,composed of less than 10% grains suspended in a carbonate mud matrix,ACCEPTED,Valid.
mudstone,Sedimentary Rock,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine system,domain_term,0.8,Within Pre-Salt lacustrine systems,ACCEPTED,Valid.
dissolution,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,rock,domain_term,1.0,removes mineral material from a rock through fluid-rock interaction,ACCEPTED,Valid.
