Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,NLD,FALLBACK,Category_IRI,Parent_IRI
carbonate platform,Depositional System,rdfs:subClassOf,Depositional System,False,"Carbonate platform is a broad, shallow-water depositional system that accumulates carbonate sediments on a structural or topographic high and develops a relatively flat platform top bounded by marginal and slope deposits. In the Brazilian Pre-Salt, it commonly formed in lacustrine settings over basement highs or volcanic pedestals, where aggradation, local progradation, fault-controlled paleotopography, and lake-level oscillations governed facies distribution and reservoir architecture.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
lacustrine system,Depositional System,rdfs:subClassOf,Depositional System,False,"Lacustrine system is a depositional system that develops within a lake basin and controls the sedimentary, chemical, and ecological processes that generate lake deposits. In the Brazilian Pre-Salt, it refers to the vast Aptian alkaline, stratified to meromictic lake system that occupied much of the South Atlantic rift depression, hosted carbonate accumulation, and preceded the deposition of the overlying evaporites.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
lacustrine carbonate platform,carbonate platform,rdfs:subClassOf,Depositional System,False,"Lacustrine carbonate platform is a carbonate depositional system that develops in lake settings on broad structural highs and accumulates shallow-water carbonate sediments during sag-stage basin evolution. In the Brazilian Pre-Salt, it commonly forms large seismically mappable bodies composed of microbialites and bioclastic limestones, including shrubby boundstones and spherulite-intraclast grainstones that constitute key reservoir facies, while muddier wackestones and packstones tend to increase toward platform margins.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
bathymetry,Dimension,rdfs:subClassOf,Dimension,False,"Bathymetry is a measure of subaqueous topography that quantifies water depth below lake level across a depositional surface. In the Brazilian Pre-Salt lacustrine carbonates, bathymetry is commonly represented as positive depth values and is a key control on wave energy, wave base, carbonate growth rates, mud precipitation, and the distribution of facies in stratigraphic forward models.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000022
hydrothermal fluid,Earth Fluid,rdfs:subClassOf,Earth Fluid,False,"Hydrothermal fluid is a hot aqueous fluid that circulates through the crust at elevated temperatures and pressures, redistributing heat and mass and altering preexisting rocks. In Brazilian pre-salt carbonates, it commonly migrates along faults and fractures, may mix with lake water, precipitates minerals such as macrocrystalline calcite, saddle dolomite, barite, celestine, fluorite, and quartz, and can promote dissolution, hydraulic brecciation, and hypogenic karst porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000009
Sedimentary Basin,Basin,rdfs:subClassOf,Basin,True,"Sedimentary Basin is a basin that accumulates a fill of sediments within accommodation space generated by tectonic, thermal, or related subsidence.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039
passive-margin basin,Sedimentary Basin,rdfs:subClassOf,Basin,False,"Passive-margin basin is a sedimentary basin that develops along a continental margin after rifting and continental breakup, with post-rift thermal subsidence controlling its drift-stage sedimentation. In the Brazilian pre-salt province, basins such as Santos and Campos evolved into passive-margin basins after the Early Cretaceous opening of the South Atlantic, accumulating Albian shallow-marine platform carbonates followed by deeper-water sediments.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
rift basin,Sedimentary Basin,rdfs:subClassOf,Basin,False,"Rift basin is a sedimentary basin that forms by lithospheric extension and fault-controlled subsidence during continental or marine rifting. In the Brazilian Pre-Salt, it records the early basin stage linked to Gondwana breakup and typically comprises pre-rift, syn-rift, and post-rift successions, with syn-rift growth strata generated by active normal faulting and post-rift tabular strata deposited during thermal subsidence.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
sag basin,Sedimentary Basin,rdfs:subClassOf,Basin,False,"Sag basin is a post-rift sedimentary basin that develops as a broad, laterally continuous regional depression mainly through thermal subsidence after active rifting has waned. In the Brazilian Pre-Salt, it corresponds to the Aptian transitional section, when reduced tectonic activity allowed deposition of the Barra Velha non-marine to shallow-water carbonates and the overlying Ariri evaporite seal before full drift-stage conditions were established.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
structural low,structural domain,rdfs:subClassOf,site,False,"Structural low is a structural domain that lies at a relatively lower elevation than adjacent structural highs because of fault-controlled basin architecture and differential subsidence. In Brazilian Pre-Salt settings, structural lows are mapped on basement or stratigraphic horizons as fault-bounded depressions that create accommodation and commonly favor the accumulation of fine-grained carbonate muds, Mg-rich clays, and laminite deposits.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039
graben,structural low,rdfs:subClassOf,Basin,False,"Graben is a rift-related structural low that is bounded by normal faults and forms a subsiding depocenter between adjacent uplifted blocks. In the Brazilian Pre-Salt, grabens developed during the opening of the South Atlantic, commonly trapped thicker lacustrine sediment accumulations including organic-rich shales, and occur adjacent to horsts that favored carbonate reservoir development.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
half-graben,graben,rdfs:subClassOf,Basin,False,"Half-graben is an extensional fault-bounded structural depression that develops by subsidence of a crustal block along a dominant normal fault, creating an asymmetric, commonly wedge-shaped basin. In the Brazilian Pre-Salt, half-grabens are syn-rift compartments commonly bounded by planar or listric faults and associated with adjacent horsts, where they control accommodation space, stratigraphic thickening, and the geometry of rift deposits seen in seismic data.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
seismic facies,Stratigraphic Unit,rdfs:subClassOf,Facies,False,"Seismic facies is a seismostratigraphic unit that comprises a group of reflectors with characteristic amplitude, continuity, geometry, and frequency patterns that distinguish it from adjacent seismic units and can be related to architectural elements, depositional systems, or sedimentary environments. In Brazilian Pre-Salt carbonates, seismic facies are defined by integrating seismic attributes with well information and are mapped as patterns such as tabular, mound, bank, fill, or parallel to infer reservoir boundaries, compartmentalization, and relative reservoir quality.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000028,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000028
