Term,Category,Reasoning,NLD,Context_Used,Condition
aptian,Geological Time Interval,"The NLD defines Aptian as a specific span of geological time, which directly aligns with the definition of a Geological Time Interval.","The Aptian is a geological age of the Early Cretaceous Epoch that chronologically follows the Barremian and precedes the Albian, spanning from approximately 125 to 113 million years ago. In the context of Brazilian petroleum geology, this age corresponds to the deposition of the main lacustrine carbonate reservoirs of the sag phase, such as those of the Barra Velha Formation in the Santos Basin.",False,B
santos basin,Depositional System,"A sedimentary basin is a large-scale geological feature composed of an aggregate of linked depositional units, fitting the definition of a Depositional System.","ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",Error,B
campos basin,Depositional System,"The NLD defines Campos Basin as a major sedimentary basin containing a sequence of stratigraphic units, which is an aggregate of depositional units.","Campos Basin is a major sedimentary basin that is located predominantly offshore the coast of Rio de Janeiro state, Brazil, representing one of the country's most prolific petroleum provinces. It is a passive margin basin formed during the Early Cretaceous breakup of Gondwana, containing a complete tectono-stratigraphic sequence from rift to post-rift stages. Historically dominated by production from post-salt deepwater turbidite reservoirs, it also contains significant hydrocarbon accumulations within the underlying Pre-Salt lacustrine carbonate section.",False,B
evaporite,Sedimentary Rock,"The NLD explicitly defines an evaporite as a type of chemical sedimentary rock, directly matching the Sedimentary Rock category.","Evaporite is a chemical sedimentary rock that is formed by the precipitation of dissolved mineral salts, such as halite and anhydrite, from a concentrated aqueous solution due to evaporation. In the Brazilian Pre-Salt petroleum system, thick Aptian-age evaporite sequences act as the regional seal, trapping hydrocarbons within the underlying carbonate reservoirs.",False,B
fault,Geological Structure,"A fault is a feature describing the arrangement and displacement of rock volumes, and it is explicitly listed as an example of a Geological Structure.","A fault is a brittle fracture or zone of fractures in a rock volume that exhibits measurable displacement of the adjacent blocks. These structures are fundamental in petroleum systems, acting as traps, migration pathways, or seals, and in the Brazilian Pre-Salt, rift-related normal faults control the primary architecture of the hydrocarbon-bearing basins.",False,B
albian,Geological Age,"The NLD explicitly defines the term as a geological age, which is a quality related to a specific time interval in Earth's history.","Albian is a geological age that constitutes the final stage of the Early Cretaceous epoch, spanning the time interval from approximately 113 to 100.5 million years ago. In the context of the South Atlantic margins, the Albian marks the major marine transgression over the Aptian salt, establishing open marine conditions and initiating the deposition of significant post-salt carbonate sequences.",False,B
barra velha formation,Depositional Unit,"The term refers to a geological formation, which is a mappable sedimentary body, fitting the definition of a Depositional Unit.","The Barra Velha Formation is a geological formation of the Brazilian pre-salt succession that was deposited during the Aptian stage in a lacustrine setting within the Santos and Campos basins. It is characterized by highly heterogeneous and productive carbonate reservoirs, primarily composed of coquinas, spherulites, and shrub-like facies. Stratigraphically, it represents the upper part of the pre-salt rift sequence, conformably overlying the Piçarras Formation and unconformably overlain by the Ariri Formation evaporites.",False,B
carbonate,Sedimentary Rock,The NLD explicitly defines the term as a class of sedimentary rock composed of carbonate minerals.,"Carbonate is a class of sedimentary rock that is composed primarily of carbonate minerals, such as calcite, aragonite, or dolomite. These rocks form through biological, chemical, or detrital processes in diverse depositional environments, ranging from marine to lacustrine. In the Brazilian Pre-Salt, lacustrine carbonates, including microbialites and coquinas, form the principal hydrocarbon reservoirs.",False,B
structural high,Geological Structure,"The term describes a feature like an anticline or horst, which is an arrangement of rock strata, fitting the definition of a Geological Structure.","A structural high is a geological feature that is characterized by rock strata positioned at a higher elevation relative to the surrounding area due to tectonic deformation. These features, which include anticlines and horsts, form classic traps for hydrocarbons when overlain by an effective sealing rock. In the Brazilian Pre-Salt, large-scale horst blocks formed during the South Atlantic rifting constitute the primary structural highs where major carbonate reservoirs have accumulated.",False,B
unconformity,Geological Boundary,"The NLD defines an unconformity as a stratigraphic surface that separates rock bodies, which corresponds to the definition of a Geological Boundary.","An unconformity is a stratigraphic surface that represents a significant hiatus in the geologic record, separating younger strata from older rocks. It is produced by erosion or a period of non-deposition, followed by the resumption of sedimentation. In petroleum systems, unconformities are critical elements that can form seals or create stratigraphic traps for hydrocarbon accumulation.",False,B
