Term,Target_Class,Mint_Parent,Original_Category,Original_Parent,Reason
campos basin,Basin,,Basin,passive-margin basin,"Check 6: The term is a proper noun naming a single, specific geological basin."
santos basin,Basin,,Basin,passive-margin basin,"Check 6: The term is a proper noun naming a single, specific geological basin."
pelotas basin,Basin,,Basin,passive-margin basin,"Check 6: The term is a proper noun naming a single, specific geological basin."
espírito santo basin,Basin,,Basin,passive-margin basin,"Check 6: The term is a proper noun naming a single, specific geological basin."
namibe basin,Basin,,Basin,passive-margin basin,"Check 6: The term is a proper noun naming a single, specific geological basin."
búzios field,Geological Object,,Basin,Geological Object,"The term 'Búzios Field' is a proper noun naming a single, specific oil and gas field (Check 6)."
brazilian continental margin,Geological Object,,Basin,Geological Object,"The term is a proper noun naming a single, specific geological feature (Check 6)."
cabo frio high,Geological Structure,,Body of Rock,basement high,"'Cabo Frio High' is a proper noun naming a specific, unique geological feature (Check 6)."
gondwana,Geological Object,,Body of Rock,Supercontinent,"'Gondwana' is a proper noun naming a specific, unique geological object (a former supercontinent) (Check 6)."
florianopolis high,Geological Structure,,Body of Rock,basement high,"Proper noun (Check 6). 'Florianopolis High' names a single, specific geological feature."
outer high,Geological Structure,,Body of Rock,basement high,"Proper noun (Check 6). 'Outer High' names a single, specific basement structure in the Santos Basin."
ribeira belt,Body of Rock,,Body of Rock,basement,"Proper noun naming a specific geological orogen, which is a single instance."
gondwana supercontinent,Body of Rock,,Body of Rock,Supercontinent,"Gondwana is a proper noun naming a specific, unique geological object (a former supercontinent)."
tupi high,Body of Rock,,Body of Rock,basement high,"Tupi High is a proper noun naming a specific, unique structural high in the Santos Basin."
barra velha formation,Formation,,Formation,Lithostratigraphic Unit,'barra velha formation' is a proper noun naming a specific geological formation.
ariri formation,Formation,,Formation,Lithostratigraphic Unit,'ariri formation' is a proper noun naming a specific geological formation.
itapema formation,Formation,,Formation,Lithostratigraphic Unit,'itapema formation' is a proper noun naming a specific geological formation.
piçarras formation,Formation,,Formation,Lithostratigraphic Unit,'piçarras formation' is a proper noun naming a specific geological formation.
