Term,Category,Reasoning,NLD,Context_Used,Condition
aptian,Geological Time Interval,"The term refers to a specific, named interval on the official geologic time scale.",,False,C
santos basin,Geological Object,"A basin is a large-scale, identifiable geological entity generated by geological processes.",,False,C
campos basin,Geological Object,"A basin is a large-scale, identifiable geological entity generated by geological processes.",,False,C
evaporite,Sedimentary Rock,An evaporite is a type of chemically precipitated sedimentary rock formed by evaporation.,,False,C
fault,Geological Structure,A fault is a structural feature describing the configuration of rock bodies and is an explicit example of this category.,,False,C
albian,Geological Age,"Albian is a standard division of geological time, representing a specific age within the Cretaceous period, similar to the example 'Oxfordian'.",,False,C
barra velha formation,Depositional Unit,"A geological formation is a large-scale, mappable body of rock, which fits the definition of a Depositional Unit.",,False,C
carbonate,Earth Material,"Carbonate refers to a type of natural matter, which can be consolidated (rock) or unconsolidated, fitting the general definition of an Earth Material.",,False,C
structural high,Geological Structure,"A structural high describes a large-scale configuration and arrangement of rock bodies, which aligns with the definition of a Geological Structure.",,False,C
unconformity,Geological Boundary,"An unconformity represents a surface of non-deposition or erosion, which is a physical discontinuity that acts as a boundary between geological objects.",,False,C
cretaceous,Geological Time Interval,"The term refers to a specific, named period within the global geological timescale.",,False,C
erosion,Geological Process,The term describes a physical process that modifies or destroys geological objects and materials.,,False,C
pre-salt,Depositional System,The term refers to a large-scale aggregation of genetically related depositional units defined by their position relative to a salt layer.,,False,C
fracture,Geological Structure,"A fracture is a structural feature, a type of discontinuity that alters the internal arrangement of a rock body.",,False,C
spherulite,Geological Object,"A spherulite is a discrete, rigid body with its own identity criteria, formed by a geological process like crystallization.",,False,C
ariri formation,Depositional Unit,"A geological formation is a fundamental, mappable body of rock, which fits the definition of a Depositional Unit.",,False,C
barremian,Geological Time Interval,"The Barremian is a standard division of the geologic timescale, representing a specific interval of time.",,False,C
basalt,Rock,"Basalt is a specific type of solid, consolidated Earth Material, which is the definition of a Rock.",,False,C
carbonate reservoir,Sedimentary Geological Object,"A carbonate reservoir is a geological object constituted by carbonate rock, which is a type of sedimentary rock.",,False,C
coquina,Sedimentary Rock,"Coquina is a type of rock composed of sedimentary particles, specifically shell fragments, fitting the definition of Sedimentary Rock.",,False,C
diagenesis,Geological Process,"Diagenesis describes the physical and chemical processes that alter sediments after deposition, which fits the definition of a Geological Process.",,False,C
early cretaceous,Geological Time Interval,"The Early Cretaceous is a specific, defined span of time within the global geological timescale.",,False,C
itapema formation,Depositional Unit,"A geological formation is a mappable body of rock, which fits the definition of a Depositional Unit.",,False,C
silica,Earth Material,Silica (silicon dioxide) is a natural amount of solid matter that is a primary constituent of many rocks and sediments.,,False,C
subsidence,Geological Process,"Subsidence is the process of the ground surface sinking or settling, which modifies geological objects.",,False,C
depocenter,site,A depocenter is an immaterial region defined by the location of maximum sediment accumulation within a material entity like a basin.,,False,C
halite,Earth Material,"Halite is a naturally occurring mineral substance, which is a type of Earth Material that can constitute a rock.",,False,C
hauterivian,Geological Time Interval,The Hauterivian is a formally defined interval of time within the standard geologic timescale.,,False,C
microbialite,Sedimentary Rock,"A microbialite is a type of rock formed by sedimentary processes involving microorganisms, fitting the definition of a Sedimentary Rock.",,False,C
reservoir,Geological Object,"A reservoir is a subsurface rock body defined by its unity and identity as a fluid container, which aligns with the definition of a Geological Object.",,False,C
salt deposition,Geological Process,"The term describes a process that generates a geological object, which aligns with the definition of a Geological Process.",,False,C
seismic facies,Facies,"Seismic facies are patterns observed in seismic data that represent the properties of geological objects, fitting the definition of Facies.",,False,C
clinoform,Sedimentary Structure,"A clinoform is a pattern describing the internal geometric arrangement of strata within depositional units, which fits the definition of Sedimentary Structure.",,False,C
calcite,Earth Material,"Calcite is a naturally occurring mineral matter that constitutes geological materials like rocks, fitting the definition of Earth Material.",,False,C
dissolution,Geological Process,"Dissolution is a chemical process that modifies or destroys geological objects or materials, which is the definition of a Geological Process.",,False,C
dolomite,Sedimentary Rock,"Dolomite is a type of carbonate rock, which is a specific kind of sedimentary rock commonly found in reservoir systems.",,False,C
economic basement,Geological Boundary,"Economic basement represents a conceptual boundary in the subsurface defined by economic criteria, fitting the concept of a fiat geological boundary.",,False,C
lacustrine environment,site,"A lacustrine environment is a setting or location for geological processes, best described as a site whose boundaries are defined by the extent of a lake.",,False,C
lake,Geological Object,"A lake is a large-scale, self-contained natural feature with a distinct identity and unity, fitting the definition of a Geological Object.",,False,C
late aptian,Geological Time Interval,"The Late Aptian is a formally defined interval on the geologic time scale, which is precisely what a Geological Time Interval represents.",,False,C
pre-alagoas unconformity,Geological Boundary,"An unconformity is a surface of contact representing a gap in the geologic record, which fits the definition of a geological boundary.",,False,C
rift phase,Geological Time Interval,"A 'phase' in a geological context refers to a period of time during which specific processes, like rifting, occur, which aligns with the definition of a Geological Time Interval.",,False,C
sag phase,Geological Time Interval,"A 'sag phase' describes a specific period in a basin's history defined by the dominant geological process of subsidence, fitting the definition of a Geological Time Interval.",,False,C
shale,Sedimentary Rock,"Shale is a fine-grained clastic rock formed from compacted mud and clay, which is a direct example of a Sedimentary Rock.",,False,C
shallow lake,site,"A shallow lake is a depression or basin on the Earth's surface that holds water, fitting the BFO definition of a site as a three-dimensional immaterial entity.",,False,C
stevensite,Earth Material,"Stevensite is a clay mineral, which is a naturally occurring solid Earth Material that constitutes rocks and sediments.",,False,C
travertine,Sedimentary Rock,"Travertine is a form of limestone deposited by mineral springs, which is a type of Sedimentary Rock.",,False,C
carbonate platform,Depositional System,"A carbonate platform is a large-scale aggregate of mereotopologically linked depositional units, such as reefs and lagoons.",,False,C
clay,Sediment,Clay is an unconsolidated Earth Material constituted by a collection of fine-grained sedimentary particles.,,False,C
grainstone,Sedimentary Rock,"Grainstone is a specific textural type of carbonate rock, which is a kind of Sedimentary Rock.",,False,C
permeability,quality,"Permeability is a quality that inheres in a material entity, describing its capacity to allow fluids to pass through it.",,False,C
porosity,quality,"Porosity is a quality that inheres in a material entity, representing the volume of its void spaces.",,False,C
rifting,Geological Process,Rifting is a large-scale geological process involving the stretching and breaking apart of the lithosphere.,,False,C
source rock,Sedimentary Rock,"A source rock is a type of rock, typically sedimentary, from which hydrocarbons have been or can be generated.",,False,C
stromatolite,Sedimentary Structure,A stromatolite is a layered sedimentary structure created by the trapping and binding of sediment by microorganisms.,,False,C
onlap,Geological Contact,"Onlap describes a specific type of relational contact where younger strata terminate against an older, inclined surface.",,False,C
carbonate factory,Geological Process,A carbonate factory refers to the collection of biological and chemical processes that generate carbonate sediments in a specific environment.,,False,C
reservoir quality,quality,"Reservoir quality is a composite property, including porosity and permeability, that inheres in a reservoir rock.",,False,C
alkalinity,quality,"Alkalinity is a chemical quality, a measure of a substance's capacity to neutralize acid, that inheres in an independent continuant like a body of water.",,False,C
camboriú formation,Depositional System,"A geological formation is a large-scale, mappable body of rock composed of genetically related strata, which is best described as a system of linked depositional units.",,False,C
carbonate rock,Sedimentary Rock,"A carbonate rock is a specific type of rock composed of carbonate minerals, which falls under the category of sedimentary rocks.",,False,C
deep lake,site,"A lake is a three-dimensional feature on the Earth's surface, best described as a site whose boundaries are defined by the surrounding land and which contains water.",,False,C
evaporation,Geological Process,Evaporation is a physical process that modifies the composition of earth materials and can lead to the generation of new geological objects like evaporite deposits.,,False,C
facies,Facies,"The term directly matches the GeoReservoir category 'Facies', which is defined as a visual pattern of properties of Geological Objects.",,False,C
hydrothermal fluid,Earth Fluid,"A hydrothermal fluid is a volume of fluid of geological origin, which fits the definition of an Earth Fluid.",,False,C
intraclast,Geological Object,"An intraclast is a discrete, identifiable clast of geological origin, which is the definition of a Geological Object.",,False,C
lacustrine carbonate,Earth Material,"Lacustrine carbonate is a natural amount of matter of geological origin, which fits the definition of Earth Material.",,False,C
limestone,Sedimentary Rock,"Limestone is a rock constituted by a collection of sedimentary grains, which is the definition of a Sedimentary Rock.",,False,C
lower cretaceous,Geological Time Interval,"The Lower Cretaceous is a formally defined period of time on the geologic time scale, fitting the definition of a Geological Time Interval.",,False,C
peloid,Geological Object,"A peloid is a discrete, identifiable grain of geological origin, which is the definition of a Geological Object.",,False,C
piçarras formation,Depositional System,A geological formation is a large-scale mappable body composed of an aggregate of linked depositional units.,,False,C
recrystallization,Geological Process,Recrystallization is a process that modifies the composition and arrangement of minerals within a rock.,,False,C
rift,Geological Structure,A rift is a large-scale structural feature describing the configuration of the Earth's crust under extension.,,False,C
salt basin,Depositional System,A salt basin is a large-scale feature composed of an aggregate of linked evaporite depositional units.,,False,C
sediment,Sediment,The term directly matches the GeoReservoir category for an unconsolidated earth material made of sedimentary particles.,,False,C
siltstone,Sedimentary Rock,Siltstone is a type of rock constituted by sedimentary grains of silt size.,,False,C
