# Object Property Definitions
# Extracted from: bfo-core.owl (BFO 2020), ro-core.owl, geocore-full.owl, geores-full.owl
# Format: property_label | IRI | source | definition
# BFO 2020 definitions come from skos:definition in bfo-core.owl.
# RO definitions come from IAO_0000115 in ro-core.owl.
# GeoCore/GeoReservoir definitions come from IAO_0000115 in their respective files.
#
# ── BFO 2020 (from bfo-core.owl) ──
#
has realization | http://purl.obolibrary.org/obo/BFO_0000054 | BFO2020 | b has realization c =Def c realizes b
realizes | http://purl.obolibrary.org/obo/BFO_0000055 | BFO2020 | (Elucidation) realizes is a relation between a process b and realizable entity c such that c inheres in some d & for all t, if b has participant d then c exists & the type instantiated by b is correlated with the type instantiated by c
participates in | http://purl.obolibrary.org/obo/BFO_0000056 | BFO2020 | (Elucidation) participates in holds between some b that is either a specifically dependent continuant or generically dependent continuant or independent continuant that is not a spatial region & some process p such that b participates in p some way
has participant | http://purl.obolibrary.org/obo/BFO_0000057 | BFO2020 | p has participant c =Def c participates in p
is concretized by | http://purl.obolibrary.org/obo/BFO_0000058 | BFO2020 | c is concretized by b =Def b concretizes c
concretizes | http://purl.obolibrary.org/obo/BFO_0000059 | BFO2020 | b concretizes c =Def b is a process or a specifically dependent continuant & c is a generically dependent continuant & there is some time t such that c is the pattern or content which b shares at t with actual or potential copies
preceded by | http://purl.obolibrary.org/obo/BFO_0000062 | BFO2020 | b preceded by c =Def b precedes c
precedes | http://purl.obolibrary.org/obo/BFO_0000063 | BFO2020 | (Elucidation) precedes is a relation between occurrents o, o' such that if t is the temporal extent of o & t' is the temporal extent of o' then either the last instant of o is before the first instant of o' or the last instant of o is the first instant of o' & neither o nor o' are temporal instants
occurs in | http://purl.obolibrary.org/obo/BFO_0000066 | BFO2020 | b occurs in c =Def b is a process or a process boundary & c is a material entity or site & there exists a spatiotemporal region r & b occupies spatiotemporal region r & for all time t, if b exists at t then c exists at t & there exist spatial regions s and s' where b spatially projects onto s at t & c occupies spatial region s' at t & s is a continuant part of s' at t
generically depends on | http://purl.obolibrary.org/obo/BFO_0000084 | BFO2020 | b generically depends on c =Def b is a generically dependent continuant & c is an independent continuant that is not a spatial region & at some time t there inheres in c a specifically dependent continuant which concretizes b at t
is carrier of | http://purl.obolibrary.org/obo/BFO_0000101 | BFO2020 | b is carrier of c =Def there is some time t such that c generically depends on b at t
exists at | http://purl.obolibrary.org/obo/BFO_0000108 | BFO2020 | (Elucidation) exists at is a relation between a particular and some temporal region at which the particular exists
has member part | http://purl.obolibrary.org/obo/BFO_0000115 | BFO2020 | b has member part c =Def c member part of b
has occurrent part | http://purl.obolibrary.org/obo/BFO_0000117 | BFO2020 | b has occurrent part c =Def c occurrent part of b
has temporal part | http://purl.obolibrary.org/obo/BFO_0000121 | BFO2020 | b has temporal part c =Def c temporal part of b
location of | http://purl.obolibrary.org/obo/BFO_0000124 | BFO2020 | b location of c =Def c located in b
material basis of | http://purl.obolibrary.org/obo/BFO_0000127 | BFO2020 | b material basis of c =Def c has material basis b
member part of | http://purl.obolibrary.org/obo/BFO_0000129 | BFO2020 | b member part of c =Def b is an object & c is a material entity & there is some time t such that b continuant part of c at t & there is a mutually exhaustive and pairwise disjoint partition of c into objects x1, ..., xn (for some n ≠ 1) with b = xi (for some 1 <= i <= n)
occurrent part of | http://purl.obolibrary.org/obo/BFO_0000132 | BFO2020 | (Elucidation) occurrent part of is a relation between occurrents b and c when b is part of c
temporal part of | http://purl.obolibrary.org/obo/BFO_0000139 | BFO2020 | b temporal part of c =Def b occurrent part of c & (b and c are temporal regions) or (b and c are spatiotemporal regions & b temporally projects onto an occurrent part of the temporal region that c temporally projects onto) or (b and c are processes or process boundaries & b occupies a temporal region that is an occurrent part of the temporal region that c occupies)
temporally projects onto | http://purl.obolibrary.org/obo/BFO_0000153 | BFO2020 | (Elucidation) temporally projects onto is a relation between a spatiotemporal region s and some temporal region which is the temporal extent of s
located in | http://purl.obolibrary.org/obo/BFO_0000171 | BFO2020 | b located in c =Def b is an independent continuant & c is an independent & neither is a spatial region & there is some time t such that the spatial region which b occupies at t is continuant part of the spatial region which c occupies at t
continuant part of | http://purl.obolibrary.org/obo/BFO_0000176 | BFO2020 | b continuant part of c =Def b and c are continuants & there is some time t such that b and c exist at t & b part of c at t
has continuant part | http://purl.obolibrary.org/obo/BFO_0000178 | BFO2020 | b has continuant part c =Def c continuant part of b
environs | http://purl.obolibrary.org/obo/BFO_0000183 | BFO2020 | b environs c =Def c occurs in b
history of | http://purl.obolibrary.org/obo/BFO_0000184 | BFO2020 | (Elucidation) history of is a relation between history b and material entity c such that b is the unique history of c
has history | http://purl.obolibrary.org/obo/BFO_0000185 | BFO2020 | b has history c =Def c history of b
specifically depended on by | http://purl.obolibrary.org/obo/BFO_0000194 | BFO2020 | b specifically depended on by c =Def c specifically depends on b
specifically depends on | http://purl.obolibrary.org/obo/BFO_0000195 | BFO2020 | (Elucidation) specifically depends on is a relation between a specifically dependent continuant b and specifically dependent continuant or independent continuant that is not a spatial region c such that b and c share no parts in common & b is of a nature such that at all times t it cannot exist unless c exists & b is not a boundary of c
bearer of | http://purl.obolibrary.org/obo/BFO_0000196 | BFO2020 | b bearer of c =Def c inheres in b
inheres in | http://purl.obolibrary.org/obo/BFO_0000197 | BFO2020 | b inheres in c =Def b is a specifically dependent continuant & c is an independent continuant that is not a spatial region & b specifically depends on c
occupies temporal region | http://purl.obolibrary.org/obo/BFO_0000199 | BFO2020 | p occupies temporal region t =Def p is a process or process boundary & the spatiotemporal region occupied by p temporally projects onto t
occupies spatiotemporal region | http://purl.obolibrary.org/obo/BFO_0000200 | BFO2020 | (Elucidation) occupies spatiotemporal region is a relation between a process or process boundary p and the spatiotemporal region s which is its spatiotemporal extent
occupies spatial region | http://purl.obolibrary.org/obo/BFO_0000210 | BFO2020 | b occupies spatial region r =Def b is an independent continuant that is not a spatial region & r is a spatial region & there is some time t such that every continuant part of b occupies some continuant part of r at t and no continuant part of b occupies any spatial region that is not a continuant part of r at t
spatially projects onto | http://purl.obolibrary.org/obo/BFO_0000216 | BFO2020 | (Elucidation) spatially projects onto is a relation between some spatiotemporal region b and spatial region c such that at some time t, c is the spatial extent of b at t
has material basis | http://purl.obolibrary.org/obo/BFO_0000218 | BFO2020 | b has material basis c =Def b is a disposition & c is a material entity & there is some d bearer of b & there is some time t such that c is a continuant part of d at t & d has disposition b because c is a continuant part of d at t
first instant of | http://purl.obolibrary.org/obo/BFO_0000221 | BFO2020 | t first instant of t' =Def t is a temporal instant & t' is a temporal region t' & t precedes all temporal parts of t' other than t
has first instant | http://purl.obolibrary.org/obo/BFO_0000222 | BFO2020 | t has first instant t' =Def t' first instant of t
last instant of | http://purl.obolibrary.org/obo/BFO_0000223 | BFO2020 | t last instant of t' =Def t is a temporal instant & t' is a temporal region & all temporal parts of t' other than t precede t
has last instant | http://purl.obolibrary.org/obo/BFO_0000224 | BFO2020 | t has last instant t' =Def t' last instant of t
#
# ── RO-Core (Relation Ontology) ──
# Properties here are from the RO namespace. Where their IRI overlaps with
# a BFO 2020 property above (e.g., participates_in), the BFO 2020 entry
# is canonical; RO entries are kept for completeness.
#
part of | http://purl.obolibrary.org/obo/BFO_0000050 | RO | a core relation that holds between a part and its whole
has part | http://purl.obolibrary.org/obo/BFO_0000051 | RO | a core relation that holds between a whole and its part
contains process | http://purl.obolibrary.org/obo/BFO_0000067 | RO | [copied from inverse property 'occurs in'] b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s' where & b spatially_projects_onto s at t& c is occupies_spatial_region s' at t& s is a proper_continuant_part_of s' at t
characteristic of | http://purl.obolibrary.org/obo/RO_0000052 | RO | a relation between a specifically dependent continuant (the characteristic) and any other entity (the bearer), in which the characteristic depends on the bearer for its existence.
has characteristic | http://purl.obolibrary.org/obo/RO_0000053 | RO | Inverse of characteristic_of
participates in | http://purl.obolibrary.org/obo/RO_0000056 | RO | a relation between a continuant and a process, in which the continuant is somehow involved in the process
has participant | http://purl.obolibrary.org/obo/RO_0000057 | RO | a relation between a process and a continuant, in which the continuant is somehow involved in the process
is concretized as | http://purl.obolibrary.org/obo/RO_0000058 | RO | A relationship between a generically dependent continuant and a specifically dependent continuant or process, in which the generically dependent continuant depends on some independent continuant or process in virtue of the fact that the specifically dependent continuant or process also depends on that same independent continuant. A generically dependent continuant may be concretized as multiple specifically dependent continuants or processes.
concretizes | http://purl.obolibrary.org/obo/RO_0000059 | RO | A relationship between a specifically dependent continuant or process and a generically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant or process also depends on that same independent continuant. Multiple specifically dependent continuants or processes can concretize the same generically dependent continuant.
function of | http://purl.obolibrary.org/obo/RO_0000079 | RO | a relation between a function and an independent continuant (the bearer), in which the function specifically depends on the bearer for its existence
quality of | http://purl.obolibrary.org/obo/RO_0000080 | RO | a relation between a quality and an independent continuant (the bearer), in which the quality specifically depends on the bearer for its existence
role of | http://purl.obolibrary.org/obo/RO_0000081 | RO | a relation between a role and an independent continuant (the bearer), in which the role specifically depends on the bearer for its existence
