Sheet,Row_ID,Term,Order,Context_Used_A,NLD_A,NLD_B,Assigned_Category,Tier,Conditions,Parent_Term,Category,Relationship_Type,Is_Intermediate
NLD_Quality,NLD-001,campos basin,B_first,True,"The Campos Basin is an Early Cretaceous rift basin that is located in the Central Segment of the South Atlantic margin off the coast of East Brazil, contiguous with the Espírito Santo and Santos basins. Originating from the rifting of West Gondwana, its tectonic evolution resulted in the deposition of a significant pre-salt lacustrine carbonate section, a thick Aptian evaporite layer, and a post-rift marine succession. The basin is a major hydrocarbon province containing prolific petroleum systems in pre-salt, syn-rift, and post-rift reservoirs.","Campos Basin is a major sedimentary basin that is located predominantly offshore the coast of Rio de Janeiro state, Brazil, representing one of the country's most prolific petroleum provinces. It is a passive margin basin formed during the Early Cretaceous breakup of Gondwana, containing a complete tectono-stratigraphic sequence from rift to post-rift stages. Historically dominated by production from post-salt deepwater turbidite reservoirs, it also contains significant hydrocarbon accumulations within the underlying Pre-Salt lacustrine carbonate section.",,,,,,,
NLD_Quality,NLD-002,spherulite,B_first,True,"Spherulite is a chemogenic sedimentary particle that is composed of radiating fibrous calcite crystals forming a distinct spherical shape. These particles are interpreted to precipitate directly from calcite-supersaturated, saline, and alkaline lacustrine waters at the sediment-water interface, and are a common grain type within the Aptian Pre-Salt sag interval, often associated with Mg-silicate clays.","Spherulite is a non-skeletal carbonate particle that is characterized by a spherical to subspherical shape and an internal radial fabric of acicular crystals, typically calcite or aragonite. Within Brazilian Pre-Salt reservoirs, these grains are a primary constituent of high-porosity grainstones, where their formation is attributed to rapid abiotic precipitation in highly alkaline, carbonate-saturated lacustrine environments.",,,,,,,
NLD_Quality,NLD-003,organic matter,B_first,True,"Organic matter is a naturally occurring, carbon-based substance that is derived from the remains of organisms and preserved within sedimentary rocks. In the context of the Brazilian Pre-Salt, fine-grained sediments rich in organic matter, such as the dark shales of the Piçarras Formation, constitute the primary source rocks for the petroleum system. This material can be observed as distinct streaks or laminae within the sedimentary succession.","Organic matter is a carbon-based material that is derived from the remains of once-living organisms, such as algae, bacteria, and plants. In petroleum systems, the preservation and subsequent thermal maturation of this material under specific burial conditions leads to the generation of hydrocarbons. The quality and type of organic matter, often classified as kerogen, determine whether oil or gas is generated.",,,,,,,
NLD_Quality,NLD-004,tectonics,A_first,True,"Tectonics is the set of large-scale geological processes that involve the deformation of the Earth's crust and lithosphere, resulting in the formation of structural features such as faults, folds, and sedimentary basins. In the context of the Brazilian Pre-Salt, these processes encompass the syn-rift, post-rift, and inversion stages that governed the basin's structural framework and the deposition of tectono-stratigraphic sequences. The tectonic evolution directly controls the creation of accommodation space and the architecture of reservoir and source rock intervals.","Tectonics is the set of large-scale geological processes that deform a planet's lithosphere, creating major structural features such as continents, ocean basins, mountain ranges, and rift valleys. In the context of the Brazilian Pre-Salt, extensional tectonics associated with the South Atlantic rifting created the graben and horst structures that controlled the deposition of lacustrine source and reservoir rocks. Subsequent salt tectonics, or halokinesis, further modified the structural framework, influencing trap formation and hydrocarbon migration pathways.",,,,,,,
NLD_Quality,NLD-005,wave base,B_first,True,"Wave base is a conceptual water depth that marks the lower limit of sediment agitation and transport by surface wave action. In the lacustrine settings of the Pre-Salt, the zone below wave base is a lower-energy environment characterized by the accumulation of fine-grained carbonates and chemical precipitates, while the zone at or above wave base is a higher-energy environment where reworking of deposits and the formation of grainstones occur. The depth of the wave base is dynamic and can change with factors such as lake level and fetch.","Wave base is the water depth below which the orbital motion of surface waves ceases to interact with and move sediment on the seafloor or lakebed. A distinction is made between the shallower fair-weather wave base, affected by daily wave action, and the deeper storm wave base, which is only reached by high-energy storm-generated waves.",,,,,,,
NLD_Quality,NLD-006,economic basement,B_first,True,"Economic basement is a subsurface stratigraphic unit that represents the deepest interval considered for hydrocarbon exploration, below which drilling is deemed economically or technically unviable. In the Brazilian Pre-Salt of the Santos Basin, this unit is specifically composed of the Hauterivian-age volcanic rocks of the Camboriú Formation. These basalts lie unconformably over the older Precambrian crystalline basement and represent the initial syn-rift phase.","Economic basement is a conceptual depth within the subsurface that defines the lower limit for commercially viable hydrocarbon exploration and production. This boundary is determined by factors such as the absence of petroleum system elements, degradation of reservoir quality, or drilling costs that render operations unprofitable. The economic basement may coincide with the geological basement but can also be situated within the sedimentary section where rocks are no longer considered prospective.",,,,,,,
NLD_Quality,NLD-007,silica nodule,A_first,True,"A silica nodule is a diagenetic body of silica that forms from the early interstitial precipitation of silica gels within lacustrine carbonate sediments. In the context of the Brazilian Pre-Salt, this precipitation is triggered by a decrease in the pH of lake waters, typically associated with freshening intervals or flooding events. These nodules, which may be composed of opal, are commonly found within laminated calcimudstone facies.","A silica nodule is a diagenetic feature that is composed primarily of microcrystalline or cryptocrystalline quartz and forms as a discrete, often irregular to spheroidal mass within a host sedimentary rock. These nodules, commonly known as chert or flint, typically form through the replacement of the host rock, such as limestone or dolostone, or by direct precipitation of silica from pore fluids. Their presence can significantly impact reservoir quality by creating zones of low porosity and permeability, although fracturing of brittle nodules can sometimes enhance secondary porosity.",,,,,,,
NLD_Quality,NLD-008,salt basin,B_first,True,"A salt basin is a sedimentary basin that is characterized by the accumulation of an exceptionally thick succession of evaporites, primarily halite. These basins typically form in tectonically restricted settings, such as during the sag phase of continental rifting, where limited connection to the open ocean and an arid climate promote massive salt precipitation. The resulting salt layer often acts as a regional seal for underlying hydrocarbon systems and controls the structural evolution of the overlying post-rift sequence.","A salt basin is a sedimentary basin that is characterized by the accumulation of thick sequences of evaporite deposits, primarily halite. These basins form in restricted marine or lacustrine environments where evaporation significantly exceeds inflow, leading to the precipitation of salts from a hypersaline brine. The subsequent mobilization of these salt layers, known as halokinesis, plays a critical role in forming structural traps and acting as a regional seal for major petroleum systems, such as the Brazilian Pre-Salt.",,,,,,,
NLD_Quality,NLD-009,hyper-alkaline lake,B_first,True,"A hyper-alkaline lake is a lacustrine depositional system that is characterized by water with exceptionally high alkalinity, typically with a pH of 10 or greater, driven by factors such as high CO2 input, hydrothermal activity, and evaporation. Within the context of the Brazilian Pre-Salt, these Aptian-age lakes were sites of extensive abiotic carbonate precipitation, forming Mg-silicate gels and chemogenic calcite textures that constitute major reservoir intervals.","A hyper-alkaline lake is a lacustrine system that is characterized by a persistently high pH, typically above 9.0, due to high concentrations of dissolved carbonate and bicarbonate ions. This environment is often saline and characterized by high Mg/Ca and Si/Al ratios, which favor the abiotic or microbially-mediated precipitation of non-skeletal carbonates. In the context of the Brazilian Pre-Salt, Aptian-age hyper-alkaline lacustrine systems are considered the primary depositional setting for the microbial carbonate reservoirs.",,,,,,,
NLD_Quality,NLD-010,fracture,B_first,True,"A fracture is a surface or zone of rupture in a rock that forms when applied stress exceeds the rock's strength, causing a loss of cohesion. In reservoir rocks, fractures can be open, partially filled with cement, or fully cemented, creating secondary porosity and permeability pathways or acting as barriers to fluid flow. These features occur at multiple scales, from microscopic breaks within rock fabric to large-scale brittle fracture zones influencing basin architecture.","A fracture is any planar or sub-planar discontinuity in a rock that forms due to stress causing a loss of cohesion across its surface. These features, which include joints and faults, can be open or mineralized and are critical in tight carbonate reservoirs like the Brazilian Pre-Salt, where they create secondary porosity and permeability networks that control fluid flow.",,,,,,,
