Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,NLD,FALLBACK,Category_IRI,Parent_IRI
channel,Channel Unit,rdfs:subClassOf,Channel Unit,False,"A channel is an elongate geological feature that acts as a conduit for sediment transport or focused fluid flow. In the Brazilian Pre-Salt, this term describes both large-scale depositional landforms, such as fluvial and slope channels that distribute sediments, and smaller-scale diagenetic conduits formed by dissolution that create interconnected porosity.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000008,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000008
alluvial fan,Architectural Element,rdfs:subClassOf,Architectural Element,False,"An alluvial fan is a fan-shaped depositional landform that is formed by the accumulation of sediment deposited by a stream at the base of a topographic escarpment, typically along the margins of extensional rift basins. In lacustrine rift settings, such as the Brazilian Pre-Salt, these fans can build directly into a lake to form a fan delta. Sediments delivered by the fan, such as from sheet floods or terminal splays, can be reworked by waves at the lake margin to form well-sorted carbonate grainstone and rudstone bodies that constitute significant reservoirs.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006
growth strata,Architectural Element,rdfs:subClassOf,Architectural Element,False,"Growth strata are sedimentary deposits that accumulate contemporaneously with active faulting, resulting in a characteristic wedge-shaped geometry that thickens toward the controlling fault. These syn-tectonic packages exhibit internal divergent reflections on seismic data and record the history of fault movement and subsidence. In the Brazilian Pre-Salt, growth strata are a key feature of the syn-rift succession, filling half-graben basins created during the Early Cretaceous rifting of the South Atlantic.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000006
sedimentary basin,Basin,rdfs:subClassOf,Basin,False,"A sedimentary basin is a large-scale depression in the Earth's crust that is formed by tectonic processes and serves as a site for the long-term accumulation of sediments. These sedimentary sequences are deposited on a crystalline basement, with their evolution often governed by distinct tectonic phases, such as the rift and drift stages that formed the Brazilian offshore basins and host significant hydrocarbon accumulations.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039
basin,sedimentary basin,rdfs:subClassOf,Basin,False,"A basin is a large-scale structural depression in the Earth's crust that forms due to tectonic processes, such as rifting and crustal stretching, and serves as a depocenter for the accumulation of sediments. On the Brazilian continental margin, these rift basins were created by the breakup of the Gondwana supercontinent, are often bounded by structural highs, and host the nation's most significant hydrocarbon accumulations within their sedimentary fill.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
rift basin,sedimentary basin,rdfs:subClassOf,Basin,False,"A rift basin is a sedimentary basin that is formed by the tectonic extension and thinning of the lithosphere, resulting in an elongated depression bounded by normal faults. These basins are typically characterized by a syn-rift stage of active faulting and rapid subsidence that deposits wedge-shaped sedimentary packages, followed by a post-rift stage of slower, broader thermal subsidence. In the South Atlantic, these basins developed during the breakup of the Gondwana supercontinent and contain the foundational pre-salt sequences.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
sag basin,sedimentary basin,rdfs:subClassOf,Basin,False,"A sag basin is a large, laterally continuous sedimentary basin that is generated predominantly by slow, regional thermal subsidence following an active rifting phase. This post-rift stage is characterized by relatively constant and low subsidence rates across the basin with minimal tectonic activity compared to the preceding rift. In the Brazilian Pre-Salt, the sag phase represents a transitional sequence from continental to marine environments, encompassing the deposition of the lacustrine carbonate reservoirs of the Barra Velha Formation.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
passive-margin basin,sedimentary basin,rdfs:subClassOf,Basin,False,"A passive-margin basin is a sedimentary basin that develops on a passive continental margin, formed under an extensional tectonic regime during the breakup of a continent. Its evolution is characterized by a post-rift phase of thermal subsidence and a general lack of significant tectonic or volcanic activity, leading to the deposition of thick sedimentary successions such as those found in the Santos and Campos Basins.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
campos basin,passive-margin basin,rdf:type,Basin,False,"The Campos Basin is a passive-margin sedimentary basin that formed during the Early Cretaceous breakup of Gondwana and is located on the southeastern Brazilian continental margin, bounded by the Cabo Frio High to the south and the Vitória High to the north. It is a historically prolific hydrocarbon province whose tectono-stratigraphic evolution, comprising rift and post-rift phases, led to the development of significant pre-salt lacustrine carbonate reservoirs sealed by a thick salt layer.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
santos basin,passive-margin basin,rdf:type,Basin,False,"Santos Basin is an offshore sedimentary basin on the southeastern Brazilian margin that was formed during the Early Cretaceous breakup of the Gondwana supercontinent, bounded to the north by the Campos Basin and to the south by the Pelotas Basin. Covering an area of approximately 350,000 km², its sedimentary fill is divided into rift, post-rift, and drift supersequences and hosts the globally significant hydrocarbon accumulations of the Brazilian Pre-Salt.",False,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000039,
