id,term,category,action,proposed_fate,class_fate,drop_basis,core_basis,coherent_frame,frame_axis,frame_siblings,centrality,cross_axis,placement_rationale,over_specificity_reason,needs_review,confidence,reason
0,carbonate platform,Depositional System,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,major reusable depositional-system kind and the main carbonate-system anchor under this branch,,False,0.97,probe1 OK; probe2=None; carbonate platform is a standard depositional-system subtype with non-vacuous morphology/process differentia.
1,alluvial fan,Depositional System,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,"valid depositional-system type, but the lean core loses little without this standalone node","it has no child structure, no relation-endpoint role, and only generic CQ support already covered by broader retained depositional-system classes.",True,0.8,"it has no child structure, no relation-endpoint role, and only generic CQ support already covered by broader retained depositional-system classes."
2,lacustrine system,Depositional System,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,broad environmental-system class needed as a reusable endpoint for depositional-system context,,False,0.93,probe1 OK; probe2=None; lacustrine system is a genuine subtype of Depositional System defined by development in a lake basin.
3,lacustrine carbonate platform,Depositional System,KEEP_AS_DEFINED,defined,defined,,RELATION_ENDPOINT,False,,[],high,True,definition preserves parsimony by composing two retained core kinds while keeping a relation-rich reservoir-system concept,,False,0.88,"defined as carbonate platform + located_in some lacustrine system: this is a central named cross-axis concept in the corpus and serves as the specific host for key relations to sag stage, microbialite, and limestone."
4,carbonate ramp,Depositional System,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specialized geometric refinement of an already retained platform class,"it adds only a low-angle morphological variant of carbonate platform, with no child structure, no relation-endpoint role, and no CQ value not already covered by the parent.",False,0.9,"it adds only a low-angle morphological variant of carbonate platform, with no child structure, no relation-endpoint role, and no CQ value not already covered by the parent."
5,wave base,Dimension,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,False,more parsimonious as a threshold quality on an aquatic depositional environment than as a retained core class under Dimension,"useful in facies modeling, but it is a derived hydrodynamic cutoff on the bathymetry axis with narrower reusable value than the general depth concept",False,0.86,"demoted to Sedimentary Environment + has_quality wave-base depth threshold: useful in facies modeling, but it is a derived hydrodynamic cutoff on the bathymetry axis with narrower reusable value than the general depth concept"
6,bathymetry,Dimension,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,retains the domain's primary reusable water-depth dimension instead of collapsing a key control into the generic parent Dimension,,False,0.91,"NLD defines bathymetry as water depth/subaqueous topography measure; that fits a genuine Dimension term, not a method or mixin (steps 2/6)."
7,hydrothermal fluid,Earth Fluid,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,Hydrothermal fluid is the specific material participant needed for hydrothermal alteration and related fault-controlled mineralizing and dissolution phenomena; the parent Earth Fluid is too coarse for that role.,,False,0.93,"probe1 ok; NLD describes a recognized Earth Fluid subkind by hydrothermal regime/origin, so probe2=None."
8,meteoric water,Earth Fluid,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,"Meteoric water is a valid subtype, but in a lean core it does not add branch structure, a required relation endpoint, or CQ coverage beyond Earth Fluid.",Evidence is sparse and no reusable relations are asserted; for core purposes the parent Earth Fluid already captures the needed material-presence distinction.,True,0.82,Evidence is sparse and no reusable relations are asserted; for core purposes the parent Earth Fluid already captures the needed material-presence distinction.
9,Sedimentary Basin,Basin,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,broad reusable genus needed to organize the retained basin-type subclasses under Basin.,,False,0.97,"NLD adds sediment fill in subsidence-generated accommodation space to Basin; genuine subtype, not a restatement."
10,Marginal Sedimentary Basin,Basin,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,one-child intermediate adds no essential core structure if passive-margin basin is placed directly under Sedimentary Basin.,"It has no corpus, CQ, or relation evidence of its own and currently serves only as a mediating layer for one child, so the core loses no necessary distinction by omitting it.",False,0.91,"It has no corpus, CQ, or relation evidence of its own and currently serves only as a mediating layer for one child, so the core loses no necessary distinction by omitting it."
