id,kind,category,term,action,reason,probe1_genus_ok,probe2_bucket,probe3_rewrite,rigidity,identity,dependence,carried_by
0,taxonomy,Channel Unit,channel,REPARENT,"parent → site: The NLD defines 'channel' as a 'conduit' or 'landform', which is a `site` (an immaterial entity), not a `Channel Unit` (a material body of rock).",False,Site,Channel Unit occupies some channel,+R,+I,-D,
1,taxonomy,Architectural Element,alluvial fan,KEEP,"Genuine subkind of Architectural Element, distinguished by its specific geomorphology (fan-shaped) and depositional process.",True,None,,+R,+I,-D,
2,taxonomy,Architectural Element,growth strata,KEEP,"Genuine subkind of Architectural Element. The differentia (contemporaneous with faulting) is a genetic criterion, which in geology typically defines a kind, not a mixin.",True,None,,+R,+I,-D,
3,taxonomy,Basin,sedimentary basin,KEEP,This is the root class for this branch of the taxonomy and a valid geological kind.,True,None,,+R,+I,-D,
4,taxonomy,Basin,basin,DROP_AS_REDUNDANT,"The term 'basin' is defined as a child of 'sedimentary basin' but its NLD is a near-identical restatement, making it redundant and inverting the proper hierarchy.",False,None,,+R,+I,-D,
5,taxonomy,Basin,rift basin,KEEP,"A rift basin is a genetically-defined kind of sedimentary basin, differentiated by its formation process (rifting), which imparts rigid structural properties. This is a genuine subkind.",True,None,,+R,+I,-D,
6,taxonomy,Basin,sag basin,KEEP,"A sag basin is a genetically-defined kind of sedimentary basin, differentiated by its formation process (thermal subsidence), which imparts rigid structural properties. This is a genuine subkind.",True,None,,+R,+I,-D,
7,taxonomy,Basin,passive-margin basin,DROP_AS_MIXIN,"The differentia 'develops on a passive continental margin' is locational (Probe 2: Site) and anti-rigid (~R), making this a mixin, not a genuine subkind of the rigid parent.",True,Site,sedimentary basin located_in some PassiveContinentalMargin,~R,+I,-D,"{""property"": ""located_in"", ""filler"": ""PassiveContinentalMargin""}"
8,taxonomy,Basin,campos basin,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a single, specific geological basin.",True,None,,+R,+I,-D,
9,taxonomy,Basin,santos basin,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a single, specific geological basin.",True,None,,+R,+I,-D,
10,taxonomy,Basin,pelotas basin,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a single, specific geological basin.",True,None,,+R,+I,-D,
11,taxonomy,Basin,espírito santo basin,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a single, specific geological basin.",True,None,,+R,+I,-D,
12,taxonomy,Basin,namibe basin,CONVERT_TO_INSTANCE,"Check 6: The term is a proper noun naming a single, specific geological basin.",True,None,,+R,+I,-D,
13,taxonomy,Basin,structural low,REPARENT,"parent → Geological Structure: The hierarchy is inverted. A 'basin' is a type of 'structural low', not the other way around. The NLD defines 'structural low' as a 'tectonically formed depression', which is a 'Geological Structure'.",False,None,,+R,+I,-D,
14,taxonomy,Basin,depocenter,DROP_AS_MIXIN,"The term is defined by the role it plays ('site of greatest sediment accumulation'), which is an anti-rigid property. The rigid parent ('structural low') causes an OntoClean violation.",True,Role,structural low has_role some DepositionFocusRole,~R,+I,+D,"{""property"": ""has_role"", ""filler"": ""DepositionFocusRole""}"
15,taxonomy,Basin,half-graben,KEEP,"This is a genuine subkind of 'structural low', defined by its essential geometry and boundary conditions (faulting). Genus/differentia is clean.",True,None,,+R,+I,-D,
16,taxonomy,Basin,Geological Object,KEEP,"(dedup reverted — survivor also dropped) weak intermediate: child_count=0, no real differentia",,,,,,,
17,taxonomy,Basin,búzios field,CONVERT_TO_INSTANCE,"The term 'Búzios Field' is a proper noun naming a single, specific oil and gas field (Check 6).",True,None,,+R,+I,-D,
18,taxonomy,Basin,brazilian continental margin,CONVERT_TO_INSTANCE,"The term is a proper noun naming a single, specific geological feature (Check 6).",False,None,,+R,+I,-D,
19,taxonomy,Basin,accommodation space,REPARENT,"parent → site: The NLD defines the term as a 'volume available', which is a `site` (a type of `spatial region`), not a `basin` (a type of `object`).",False,None,,+R,-I,-D,
20,taxonomy,Depositional System,carbonate platform,DROP_AS_REDUNDANT,"The carbonate platform is the key product of the lacustrine system in this context; as sibling kinds of Depositional System, they are redundant.",,,,,,,
21,taxonomy,Depositional System,depositional system,KEEP,"(dedup reverted — survivor also dropped) The term is asserted as a subclass of itself, which is a redundant statement.",False,None,,+R,-I,-D,
22,taxonomy,Depositional System,lacustrine system,KEEP,"A standard, genuine subkind of depositional system. The environmental context is essential to its nature, not just a location mixin.",True,Site,depositional system located_in some lacustrine_environment,+R,-I,-D,
