Term,RAG_Context_Used,Category,Reasoning,NLD
aptian,True,Geological Time Interval,"The NLD defines Aptian as a specific interval on the geological time scale, dated from approximately 125 to 113 million years ago.","Aptian is a geological age of the Early Cretaceous epoch that, in the context of the South Atlantic basins, encompasses the critical period of deposition for the pre-salt petroleum system. This interval is marked by the accumulation of vast lacustrine carbonate systems, which form the prolific reservoirs of the Barra Velha Formation, and the subsequent deposition of the overlying Ariri Formation evaporites that act as the regional seal. In Brazilian stratigraphy, this age corresponds to the Alagoas local stage and is globally dated from approximately 125 to 113 million years ago."
santos basin,True,Depositional System,"The NLD describes a large-scale sedimentary basin, which is an aggregate of mereotopologically linked depositional units, fitting the definition of a Depositional System.","Santos Basin is an offshore sedimentary basin that is located on the southeastern Brazilian continental margin, bounded by the Cabo Frio High to the north and the Florianópolis High to the south. The basin originated during the Lower Cretaceous rifting of Gondwana, evolving from a continental rift system into a passive divergent margin. It is one of the world's most prolific petroleum provinces, containing the giant Pre-Salt carbonate reservoirs which account for the majority of Brazil's hydrocarbon production."
campos basin,True,Depositional System,"The NLD defines it as a rift basin containing various depositional sections, which is best classified as a Depositional System.","The Campos Basin is an Early Cretaceous rift basin that is located in the Central Segment of the South Atlantic margin off the coast of East Brazil, contiguous with the Espírito Santo and Santos basins. Originating from the rifting of West Gondwana, its tectonic evolution resulted in the deposition of a significant pre-salt lacustrine carbonate section, a thick Aptian evaporite layer, and a post-rift marine succession. The basin is a major hydrocarbon province containing prolific petroleum systems in pre-salt, syn-rift, and post-rift reservoirs."
evaporite,True,Sedimentary Rock,"The NLD explicitly defines an evaporite as a type of chemical sedimentary rock, which is a direct fit for this GeoReservoir category.","Evaporite is a chemical sedimentary rock that is formed by the precipitation of dissolved minerals from a body of water as it undergoes evaporation. In the Brazilian Pre-Salt, evaporites were deposited during the Aptian in both lacustrine and shallow marine settings and are primarily composed of halite and anhydrite, with Mg-rich clays also forming in some lacustrine environments. These deposits, particularly the thick, ductile halite sections, form the regional seal for the underlying carbonate reservoirs and control post-rift structural deformation through salt tectonics."
fault,True,Geological Structure,"The NLD defines a fault as a fracture with displacement, which describes the internal arrangement and configuration of a rock volume, fitting the GeoCore definition of a Geological Structure.","A fault is a planar or curviplanar fracture or zone of fractures in a rock volume across which there has been significant displacement as a result of rock-mass movement. In the Brazilian Pre-Salt, faults are fundamental rift-related structures that were often active during sedimentation, controlling the depositional architecture, accommodation space, and the distribution of carbonate reservoirs. These structures are critical components of the petroleum system, forming structural traps, influencing fluid migration, and potentially compartmentalizing reservoirs."
albian,True,Geological Age,The NLD defines the term as a specific geochronologic age and time interval within the geological timescale.,"Albian is a geochronologic age of the Early Cretaceous Epoch that followed the Aptian Age, spanning from approximately 113 to 100.5 million years ago. In the context of the South Atlantic marginal basins, the Albian marks the onset of the post-rift drift phase, characterized by the deposition of platform to deep basin carbonates under open marine conditions. This age is stratigraphically represented by the deposition of the Ariri Formation evaporites and the overlying Guarujá Formation carbonates, which seal the underlying Aptian pre-salt reservoirs."
barra velha formation,True,Depositional Unit,"The NLD describes a named geological formation, which is a mappable body of rock, fitting the definition of a Depositional Unit.","The Barra Velha Formation is an Aptian-age geological formation of the Brazilian Pre-Salt that constitutes the primary lacustrine carbonate reservoir system in the Santos and Campos basins. Deposited in an alkaline lacustrine environment, it is predominantly composed of unique carbonate facies including microbialites (shrubs and stromatolites), spherulites, and laminated limestones, often with significant diagenetic alteration. Stratigraphically, it lies unconformably above the Itapema Formation and is overlain by the evaporites of the Ariri Formation."
carbonate,True,Sedimentary Rock,The NLD explicitly defines the term as a type of sedimentary rock composed of carbonate minerals.,"Carbonate is a sedimentary rock that is primarily composed of minerals containing the carbonate anion (CO3)2−, such as calcite and dolomite. In the Brazilian Pre-Salt, these rocks are characteristically lacustrine, forming through complex chemical and biological precipitation in alkaline lake systems to create extensive reservoir build-ups."
structural high,True,Geological Structure,"The NLD describes a feature defined by the configuration and elevated arrangement of rock bodies due to tectonic processes, which is a type of geological structure.","A structural high is a geological feature, such as a horst or uplifted block, that is stratigraphically or topographically elevated relative to its surroundings due to tectonic processes like faulting. In rift basins like the Brazilian Pre-Salt, these features often represent paleotopographic highs that control the deposition of reservoir facies, such as high-energy carbonates. Structural highs are fundamental elements in forming structural and stratigraphic traps for hydrocarbon accumulations."
unconformity,True,Geological Boundary,"The NLD defines an unconformity as a surface of discontinuity separating rock strata, which directly aligns with the definition of a Geological Boundary.","An unconformity is a surface of erosion or non-deposition that separates younger strata from older rocks, representing a significant hiatus in the geologic record. In seismic data, it is identified as a key reflector characterized by stratal terminations such as erosional truncation and downlap. Within the Brazilian Pre-Salt, these surfaces, like the regional Pre-Alagoas and Intra-Alagoas unconformities, are fundamental for defining tectono-stratigraphic units."
cretaceous,True,Geological Time Interval,"The NLD defines Cretaceous as a geologic period, which is a specific span of time within the Global Geological Time.","Cretaceous is a geologic period of the Mesozoic Era that spans from approximately 145 to 66 million years ago, following the Jurassic and preceding the Paleogene. The Early Cretaceous epoch is particularly significant in South Atlantic geology as it encompasses the rifting of Gondwana and the subsequent deposition of the economically important pre-salt lacustrine carbonate sequences in basins such as Santos and Campos."
erosion,True,Geological Process,The NLD explicitly defines erosion as a geological process that modifies geological objects by wearing away and removing material.,"Erosion is a geological process that wears away and removes rock and sediment from the land surface by natural agents. In the Brazilian Pre-Salt, significant erosion occurred at the top of the carbonate sequence due to tectonic uplift or major lake-level fall, resulting in the widespread removal of strata prior to the deposition of the overlying Ariri Formation evaporites. This event created a major unconformity, which is identified on seismic data by the truncation of underlying reflectors against the base of the salt."
pre-salt,True,Depositional System,"The NLD describes the pre-salt as a tectono-stratigraphic sequence and succession of deposits, which fits the definition of a system of linked depositional units.","Pre-salt is a tectono-stratigraphic sequence that was deposited prior to the widespread Aptian evaporite (salt) layer associated with the opening of the South Atlantic Ocean. This Lower Cretaceous succession comprises syn-rift to post-rift deposits, including the highly productive lacustrine carbonate reservoirs and source rocks that form the supergiant petroleum systems of the Brazilian and West African conjugate margins."
fracture,True,Geological Structure,"The NLD defines a fracture as a surface or zone of rupture within a rock, which represents a change in the internal arrangement of a geological object.","A fracture is a surface or zone of rupture in a rock that forms when applied stress exceeds the rock's strength, causing a loss of cohesion. In reservoir rocks, fractures can be open, partially filled with cement, or fully cemented, creating secondary porosity and permeability pathways or acting as barriers to fluid flow. These features occur at multiple scales, from microscopic breaks within rock fabric to large-scale brittle fracture zones influencing basin architecture."
spherulite,True,Geological Object,"The NLD describes a spherulite as a distinct sedimentary particle with a specific shape and composition, fitting the definition of a rigid entity with its own identity and unity criteria.","Spherulite is a chemogenic sedimentary particle that is composed of radiating fibrous calcite crystals forming a distinct spherical shape. These particles are interpreted to precipitate directly from calcite-supersaturated, saline, and alkaline lacustrine waters at the sediment-water interface, and are a common grain type within the Aptian Pre-Salt sag interval, often associated with Mg-silicate clays."
ariri formation,True,Depositional Unit,"The NLD describes a large-scale, mappable lithostratigraphic unit composed of sedimentary evaporites, which aligns with the definition of a Depositional Unit.","The Ariri Formation is an Aptian-age lithostratigraphic unit that consists of a thick succession of stratified, marine-derived evaporites which forms the regional seal for the Brazilian Pre-Salt petroleum system. It overlies the lacustrine carbonates of the Barra Velha Formation across a major erosional unconformity and is characterized by significant halokinesis, forming complex salt walls and diapiric structures."
barremian,True,Geological Time Interval,"The NLD defines Barremian as a geological stage and a specific period of time within the Early Cretaceous epoch, which is a Geological Time Interval.","Barremian is a geological stage of the Early Cretaceous epoch that chronologically follows the Hauterivian and precedes the Aptian, spanning from approximately 131 to 126 million years ago. Within the South Atlantic pre-salt successions, this stage represents a critical period of continental rifting characterized by the deposition of lacustrine and fluvial-deltaic sediments, corresponding to the local Aratu, Buracica, and Jiquiá stages."
