id,defect_id,action,subject,predicate,object,resolution,critic_verdict,critic_reasoning,confidence,justification,status,source_term
DEM-001,F026,demotion_trace,Sedimentary Environment,has_quality,wave-base depth threshold,dropped because no exact emitted axiom exists,ACCEPT,The frozen record does not contain a reviewed filler class for this threshold,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,wave base
DEM-002,F026,demotion_trace,structural low,has_role,depocenter role,dropped because no exact emitted axiom exists,ACCEPT,The role filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,depocenter
DEM-003,F026,demotion_trace,structural domain,has_quality,high fracture intensity,dropped because no exact emitted axiom exists,ACCEPT,The quality filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,fracture zone
DEM-004,F026,demotion_trace,Carbonate Grain,has_quality,spherulite-shrub hybrid morphology,dropped because no exact emitted axiom exists,ACCEPT,The morphology filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,hybrid form
DEM-005,F026,demotion_trace,ooid,constituted_by,stevensite/talc/kerolite-dominant composition,dropped because no exact emitted axiom exists,ACCEPT,The compound composition filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,talc-stevensite ooid
DEM-006,F026,demotion_trace,dissolution,has_participant,carbonate rock,dropped because no exact emitted axiom exists,ACCEPT,The proposed relation is defensible but was not selected in the frozen emitted relation set,provisional,Preserves the frozen critic decision without changing relation selection,recorded,carbonate dissolution
DEM-007,F026,demotion_trace,dissolution,has_participant,micritic or Mg-clay matrix,dropped because no exact emitted axiom exists,ACCEPT,The compound participant filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,matrix dissolution
DEM-008,F026,demotion_trace,Stratigraphic Unit,has_quality,aggradational stacking pattern,dropped because no exact emitted axiom exists,ACCEPT,The stacking-pattern filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,aggradation
DEM-009,F026,demotion_trace,normal fault,generated_by,rift-related crustal extension,dropped because no exact emitted axiom exists,ACCEPT,The process filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,rift fault
DEM-010,F026,demotion_trace,fracture,has_quality,microscale size,dropped because no exact emitted axiom exists,ACCEPT,The size filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,microfracture
DEM-011,F026,demotion_trace,primary porosity,has_quality,growth-framework-associated,dropped because no exact emitted axiom exists,ACCEPT,The modifier filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,growth framework porosity
DEM-012,F026,demotion_trace,shrub,constituted_by,calcite,reexpressed as an emitted restriction,ACCEPT,The exact base property and filler restriction is present in the emitted graph,provisional,Records the only directly traceable demotion axiom,recorded,calcite shrub
DEM-013,F026,demotion_trace,dolomite,has_quality,rhombohedral crystal habit,dropped because no exact emitted axiom exists,ACCEPT,The crystal-habit filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,rhombohedral dolomite
DEM-014,F026,demotion_trace,basalt,has_quality,tholeiitic geochemical affinity,dropped because no exact emitted axiom exists,ACCEPT,The geochemical-affinity filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,tholeiitic basalt
DEM-015,F026,demotion_trace,Sedimentary Environment,has_quality,transitional position between adjacent environments,dropped because no exact emitted axiom exists,ACCEPT,The positional-quality filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,transitional environment
DEM-016,F026,demotion_trace,shrubstone,has_continuant_part,spherulite,dropped because no exact emitted axiom exists,ACCEPT,The exact restriction was not selected in the frozen emitted relation set,provisional,Preserves the frozen critic decision without changing relation selection,recorded,spherulitic shrubstone
DEM-017,F026,demotion_trace,spherulitestone,has_continuant_part,calcite shrub,dropped because no exact emitted axiom exists,ACCEPT,The proposed filler class was demoted and is not a surviving class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,shrubby spherulitestone
DEM-018,"F026,F046",demotion_trace,mudstone,has_continuant_part,spherulite,dropped because the base class was removed,ACCEPT,The configured orphan policy forbids speculative re-anchoring of a removed base,provisional,Records the orphaned-base terminal state,recorded,spherulitic mudstone
DEM-019,"F026,F046",demotion_trace,mudstone,has_continuant_part,lamination,dropped because the base class was removed,ACCEPT,The configured orphan policy forbids speculative re-anchoring of a removed base,provisional,Records the orphaned-base terminal state,recorded,laminated mudstone
DEM-020,"F026,F046",demotion_trace,grainstone,has_continuant_part,intraclast,dropped because the base class was removed,ACCEPT,The configured orphan policy forbids speculative re-anchoring of a removed base,provisional,Records the orphaned-base terminal state,recorded,intraclastic grainstone
DEM-021,F026,demotion_trace,shale,has_quality,organic richness,dropped because no exact emitted axiom exists,ACCEPT,The organic-richness filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,organic-rich shale
DEM-022,"F026,F046",demotion_trace,grainstone,has_continuant_part,bioclast,dropped because the base class was removed,ACCEPT,The configured orphan policy forbids speculative re-anchoring of a removed base,provisional,Records the orphaned-base terminal state,recorded,bioclastic grainstone
DEM-023,"F026,F046",demotion_trace,carbonate,generated_by,microbial mediation,dropped because the base class was removed,ACCEPT,The configured orphan policy forbids speculative re-anchoring of a removed base,provisional,Records the orphaned-base terminal state,recorded,microbial carbonate
DEM-024,F026,demotion_trace,Body of Rock,constituted_by,evaporite,dropped because no exact emitted axiom exists,ACCEPT,The exact restriction was not selected in the frozen emitted relation set,provisional,Preserves the frozen critic decision without changing relation selection,recorded,evaporitic deposit
DEM-025,F026,demotion_trace,shale,has_quality,dark organic-rich character,dropped because no exact emitted axiom exists,ACCEPT,The compound quality filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,dark shale
DEM-026,"F026,F046",demotion_trace,carbonate,has_continuant_part,intraclast,dropped because the base class was removed,ACCEPT,The configured orphan policy forbids speculative re-anchoring of a removed base,provisional,Records the orphaned-base terminal state,recorded,intraclastic deposit
DEM-027,F026,demotion_trace,shale,constituted_by,carbonate,dropped because no exact emitted axiom exists,ACCEPT,The proposed filler class was removed as a redundant local class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,carbonate shale
DEM-028,F026,demotion_trace,reservoir rock,has_quality,reservoir quality,dropped because no exact emitted axiom exists,ACCEPT,The aggregate quality filler was itself demoted and is not a surviving class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,reservoir quality
DEM-029,F026,demotion_trace,site,has_quality,ultra-deep-water bathymetric setting,dropped because no exact emitted axiom exists,ACCEPT,The bathymetric-setting filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,ultra-deep water
DEM-030,F026,demotion_trace,dolomite,has_quality,saddle crystal habit,dropped because no exact emitted axiom exists,ACCEPT,The crystal-habit filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,saddle dolomite
DEM-031,F026,demotion_trace,calcite,has_quality,microcrystallinity,dropped because no exact emitted axiom exists,ACCEPT,The texture filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,microcrystalline calcite
DEM-032,F026,demotion_trace,Silica Phase,has_quality,microcrystalline texture,dropped because no exact emitted axiom exists,ACCEPT,The proposed base and quality filler were not retained as reviewed classes,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,microcrystalline silica
DEM-033,F026,demotion_trace,quartz,has_quality,microcrystalline texture,dropped because no exact emitted axiom exists,ACCEPT,The texture filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,microcrystalline quartz
DEM-034,F026,demotion_trace,silica cement,has_quality,macrocrystalline texture,dropped because no exact emitted axiom exists,ACCEPT,The texture filler was not retained as a reviewed class,provisional,Preserves the frozen critic decision without inventing an axiom,recorded,macrocrystalline quartz
