Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason,Relation_Scope,Scope_Reason,Scope_Confidence,Scope_Needs_Review
dissolution,Geological Process,has_participant,http://purl.obolibrary.org/obo/BFO_0000057,mg-clay,domain_term,1.0,removes soluble carbonate and Mg-clay components,ACCEPTED,Valid.,generic,first-sentence definition makes Mg-clay a characteristic participant of dissolution,0.97,False
evaporite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,halite,domain_term,0.8,consist mainly of halite and anhydrite,ACCEPTED,Valid.,corpus_context,"halite is asserted for Aptian Ariri/Retiro evaporites in the Brazilian Pre-Salt, not for evaporite as a class generally",0.97,False
evaporite,Sedimentary Rock,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,anhydrite,domain_term,0.8,consist mainly of halite and anhydrite,ACCEPTED,Valid.,corpus_context,"anhydrite is asserted for Aptian Ariri/Retiro evaporites in the Brazilian Pre-Salt, not for evaporite as a class generally",0.97,False
dolomite,Earth Material,located_in,http://purl.obolibrary.org/obo/BFO_0000171,lacustrine carbonate,domain_term,1.0,commonly forms in Brazilian Pre-Salt lacustrine carbonates,ACCEPTED,Valid.,generic,"the NLD presents occurrence in lacustrine carbonate as a common characteristic of dolomite; the Brazilian Pre-Salt mention is evidential context, while the filler is a generic rock type",0.78,False
dolomite,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,calcite,domain_term,1.0,replacing calcite or Mg-clay,ACCEPTED,Valid.,generic,replacement of calcite is described as a characteristic formation mode of dolomite in the class definition,0.91,False
dolomite,Earth Material,derives_from,http://purl.obolibrary.org/obo/RO_0001000,mg-clay,domain_term,1.0,replacing calcite or Mg-clay,ACCEPTED,Valid.,generic,replacement of Mg-clay is presented as a characteristic derivational pathway for dolomite,0.9,False
spherulite,Geological Object,constituted_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000017,calcite,domain_term,1.0,aggregate of radiating fibro-radial calcite crystals,ACCEPTED,Valid.,generic,The relation is stated in the class definition: a spherulite consists of radiating calcite crystals.,0.98,False
spherulite,Geological Object,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dolomitization,domain_term,1.0,are commonly altered by dolomitization,ACCEPTED,Valid.,corpus_context,"Alteration by dolomitization is asserted only for spherulites in the Barra Velha Formation, not as a class-defining feature.",0.96,False
spherulite,Geological Object,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,recrystallization,domain_term,1.0,"are commonly altered by dolomitization, recrystallization, or local silicification",ACCEPTED,Valid.,corpus_context,Participation in recrystallization is given only in the Barra Velha occurrence context.,0.96,False
spherulite,Geological Object,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,silicification,domain_term,1.0,"are commonly altered by dolomitization, recrystallization, or local silicification",ACCEPTED,Valid.,corpus_context,"Participation in silicification is stated only for the Barra Velha Formation context, not generically for the kind.",0.96,False
santos basin,Basin,located_in,http://purl.obolibrary.org/obo/BFO_0000171,continental margin,domain_term,1.0,occupies the southeastern Brazilian continental margin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
santos basin,Basin,generated_in,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000014,early cretaceous,domain_term,1.0,formed during the Early Cretaceous breakup of Gondwana,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
barra velha formation,Formation,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,aptian,domain_term,1.0,Aptian lacustrine carbonate lithostratigraphic unit,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
barra velha formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,forms the upper pre-salt succession of the Santos Basin,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
barra velha formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,intra-alagoas unconformity,domain_term,1.0,is internally divided by the Intra-Alagoas Unconformity,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
itapema formation,Formation,has_continuant_part,http://purl.obolibrary.org/obo/BFO_0000178,coquina,domain_term,1.0,consists of interbedded mollusk-rich coquinas,ACCEPTED,Valid.,individual_fact,subject was converted to owl:NamedIndividual,1.0,False
