Term,Parent_Term,Relationship_Type,Category,Is_Intermediate,FALLBACK,NLD,Category_IRI,Parent_IRI
Sedimentary Basin,Depositional System,rdfs:subClassOf,Depositional System,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
rift basin,Sedimentary Basin,rdfs:subClassOf,Depositional System,False,False,"A rift basin is a sedimentary basin that is formed by the extension and thinning of the continental lithosphere, typically associated with the breakup of supercontinents. Characterized by fault-bounded blocks, their syn-rift fill in the South Atlantic includes volcanic rocks, organic-rich lacustrine source rocks, and carbonate reservoirs of the pre-salt succession.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
salt basin,Sedimentary Basin,rdfs:subClassOf,Depositional System,False,False,"A salt basin is a sedimentary basin that is characterized by the accumulation of an exceptionally thick succession of evaporites, primarily halite. These basins typically form in tectonically restricted settings, such as during the sag phase of continental rifting, where limited connection to the open ocean and an arid climate promote massive salt precipitation. The resulting salt layer often acts as a regional seal for underlying hydrocarbon systems and controls the structural evolution of the overlying post-rift sequence.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
santos basin,Sedimentary Basin,rdf:type,Depositional System,False,False,"Santos Basin is an offshore sedimentary basin that is located on the southeastern Brazilian continental margin, bounded by the Cabo Frio High to the north and the Florianópolis High to the south. The basin originated during the Lower Cretaceous rifting of Gondwana, evolving from a continental rift system into a passive divergent margin. It is one of the world's most prolific petroleum provinces, containing the giant Pre-Salt carbonate reservoirs which account for the majority of Brazil's hydrocarbon production.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
espírito santo basin,Sedimentary Basin,rdf:type,Depositional System,False,False,"The Espírito Santo Basin is a South Atlantic marginal sedimentary basin that is located on the southeastern coast of Brazil, contiguous with the Campos and Santos basins, and formed during the Early Cretaceous rifting of West Gondwana. As a conjugate to the Kwanza Basin in West Africa, it evolved through rift, sag, and post-rift stages, which include the deposition of extensive pre-salt lacustrine carbonates and a thick overlying salt layer, forming a major petroleum province.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
campos basin,rift basin,rdf:type,Depositional System,False,False,"The Campos Basin is an Early Cretaceous rift basin that is located in the Central Segment of the South Atlantic margin off the coast of East Brazil, contiguous with the Espírito Santo and Santos basins. Originating from the rifting of West Gondwana, its tectonic evolution resulted in the deposition of a significant pre-salt lacustrine carbonate section, a thick Aptian evaporite layer, and a post-rift marine succession. The basin is a major hydrocarbon province containing prolific petroleum systems in pre-salt, syn-rift, and post-rift reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
kwanza basin,rift basin,rdf:type,Depositional System,False,False,"The Kwanza Basin is a major sedimentary rift basin on the continental margin of Angola that contains a significant pre-salt succession deposited during the Early Cretaceous opening of the South Atlantic. Its pre-salt stratigraphy is characterized by Barremian synrift deposits, including mollusk grainstones and organic-rich mudstones, which are overlain by Aptian sag-phase carbonates. The basin hosts important petroleum systems and is a key geological analogue to the pre-salt basins on the conjugate Brazilian margin.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
Stratigraphic Unit,Depositional System,rdfs:subClassOf,Depositional System,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
cyclothem,Stratigraphic Unit,rdfs:subClassOf,Depositional System,False,False,"A cyclothem is a repetitive, shallowing-upward stratigraphic succession that records fluctuations in lake level and water chemistry within a lacustrine carbonate system. In the Barra Velha Formation, a typical cyclothem consists of basal laminated calcimudstones deposited during a flooding phase, overlain by calcite shrub and spherulite facies formed during an evaporative, high-alkalinity phase. The succession, typically 0.75 to 5 meters thick, is often capped by reworked grainstones and represents a key depositional motif.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
post-rift sequence,Stratigraphic Unit,rdfs:subClassOf,Depositional System,False,False,"A post-rift sequence is a tectono-stratigraphic unit that is deposited after the cessation of active faulting and crustal extension, primarily under a regime of regional thermal subsidence. This phase, also known as the sag phase, is characterized by an aggradational filling pattern with parallel seismic facies that onlap and heal the underlying rift-related topography. In the Brazilian Pre-Salt of the Santos Basin, this succession encompasses the lacustrine carbonates of the Barra Velha Formation and the overlying evaporites of the Ariri Formation.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
rift section,Stratigraphic Unit,rdfs:subClassOf,Depositional System,False,False,"A rift section is a tectono-stratigraphic sequence that comprises the sedimentary and volcanic rocks deposited during the extensional rifting phase of a basin's evolution, with deposition strongly controlled by active normal faulting. In the Brazilian Pre-Salt basins, this section is typically divided into lower and upper rift phases, encompassing lithologies from basal volcanic rocks and fluvial-lacustrine siliciclastics to the primary organic-rich source rocks and early bioclastic carbonate reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
pre-salt,Stratigraphic Unit,rdf:type,Depositional System,False,False,"Pre-salt is a tectono-stratigraphic sequence that was deposited prior to the widespread Aptian evaporite (salt) layer associated with the opening of the South Atlantic Ocean. This Lower Cretaceous succession comprises syn-rift to post-rift deposits, including the highly productive lacustrine carbonate reservoirs and source rocks that form the supergiant petroleum systems of the Brazilian and West African conjugate margins.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
lagoa feia group,Stratigraphic Unit,rdf:type,Depositional System,False,False,"The Lagoa Feia Group is a Barremian to Late Aptian stratigraphic group in the Campos Basin, offshore Brazil, that comprises lacustrine siliciclastic and carbonate deposits of the pre-salt section, deposited during the rift and sag phases of the South Atlantic opening. It is stratigraphically positioned above the Cabiúnas Formation and extends to the top of the Retiro Formation evaporites, encompassing key reservoir intervals such as the Macabu Formation. The group is the stratigraphic equivalent of the Guaratiba Group in the Santos Basin and represents a critical component of the petroleum system in the Brazilian Pre-Salt.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
Formation,Stratigraphic Unit,rdfs:subClassOf,Depositional System,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000002
piçarras formation,Formation,rdf:type,Depositional System,False,False,"The Piçarras Formation is a Barremian-age geological formation that constitutes the lower syn-rift sequence of the Santos Basin, deposited in a non-marine, fluvial-lacustrine system. It is characterized by siliciclastic deposits ranging from proximal alluvial fan conglomerates and sandstones to distal lacustrine siltstones and organic-rich shales with talc-stevensite laminae. These organic-rich shales serve as the main source rocks for the Pre-Salt petroleum system.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000004
Lacustrine Depositional System,Depositional System,rdfs:subClassOf,Depositional System,True,False,,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020
carbonate factory,Lacustrine Depositional System,rdfs:subClassOf,Depositional System,False,False,"A carbonate factory is a depositional system that produces and accumulates carbonate sediments, which in the Pre-Salt context refers to a vast, chemogenic lacustrine environment. This abiotic system was driven by hyper-alkaline water chemistry influenced by mantle-derived CO2, precipitating unique carbonate components like spherulites and crystal shrubs that form the main reservoir rocks.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
lacustrine environment,Lacustrine Depositional System,rdfs:subClassOf,Depositional System,False,False,"A lacustrine environment is a nonmarine depositional system, centered on a lake, that in the South Atlantic Pre-Salt is characterized by its physical separation from the open ocean and highly saline, alkaline water chemistry. These settings are identified by the absence of marine fossils, the presence of specific nonmarine fauna like ostracods, and authigenic minerals such as stevensite that indicate high pH. They host the deposition of significant carbonate reservoir rocks, including coquinas and microbialites, often interbedded with shales.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
lacustrine setting,Lacustrine Depositional System,rdfs:subClassOf,Depositional System,False,False,"A lacustrine setting is a continental depositional environment that is associated with a large-scale palaeolake system, typically formed within a rift valley. In the context of the Brazilian Pre-Salt, this setting is specifically a vast, closed endorheic basin that was disconnected from the ocean and controlled by continental water inputs. Such systems can develop significant bathymetry and are characterized by the deposition of unique carbonate successions that form major petroleum reservoirs.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
lake,Lacustrine Depositional System,rdfs:subClassOf,Depositional System,False,False,"A lake is a lacustrine depositional system that, in the Pre-Salt context, occupied an extensive area within an active continental rift during the sag phase of basin evolution. This system was characterized by a complex paleohydrology with significant subsurface hydrothermal fluid input, which resulted in alkaline and often saline water chemistry. This unique hydrochemistry promoted the widespread precipitation of chemogenic and biogenic carbonates that constitute the main reservoir facies.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
deep lake,lake,rdfs:subClassOf,Depositional System,False,False,"A deep lake is a depositional model for the Brazilian Pre-Salt carbonates that postulates a lacustrine system with significant water depths, often exceeding hundreds of meters. In this model, carbonate deposition occurs as microbial platforms and isolated buildups, with evidence derived from seismic interpretations of features like dipping reflectors interpreted as slope clinoforms.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
evaporitic lake,lake,rdfs:subClassOf,Depositional System,False,False,"An evaporitic lake is a lacustrine depositional system that is characterized by evaporation rates exceeding water inflow, resulting in an under-filled basin with significant chemical sedimentation. In the context of the Brazilian Pre-Salt, these environments are typically shallow, alkaline, and saline, promoting the precipitation of distinctive chemogenic carbonates like calcite shrubs and spherulites within Mg-silicate matrices.",https://www.inf.ufrgs.br/bdi/ontologies/GEORES_0000020,
