Term,Cat_A,Cat_B,Cat_C,Cat_D,Pattern
albian,Geological Age,Geological Age,Geological Age,Geological Time Interval,Compression-sensitive
alkaline lacustrine environment,site,Geological Process,site,site,RAG-sensitive
alkalinity,quality,quality,quality,quality,Stable
anhydrite,Earth Material,Earth Material,Sedimentary Rock,Earth Material,NLD-sensitive
antecedent topography,Geological Boundary,Geological Boundary,Geological Boundary,Geological Boundary,Stable
aptian,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
aquifer,Geological Object,Geological Object,Geological Object,Geological Object,Stable
aragonite,Earth Material,Earth Material,Earth Material,Earth Material,Stable
ariri formation,Depositional Unit,Depositional Unit,Depositional Unit,Sedimentary Geological Object,Compression-sensitive
barra velha formation,Depositional Unit,Depositional Unit,Depositional Unit,Depositional Unit,Stable
barremian,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
basalt,Rock,Rock,Rock,Rock,Stable
base salt,Geological Boundary,Sedimentary Rock,Geological Boundary,Geological Boundary,RAG-sensitive
basement high,Geological Object,Geological Object,Geological Object,Geological Object,Stable
basin,Geological Object,site,site,Geological Object,Multi-sensitive
calcite,Earth Material,Earth Material,Earth Material,Earth Material,Stable
camboriú formation,Geological Object,Geological Object,Depositional System,Geological Object,NLD-sensitive
campos basin,Depositional System,Depositional System,Geological Object,Geological Object,NLD-sensitive
carbonate,Sedimentary Rock,Sedimentary Rock,Earth Material,Sedimentary Rock,NLD-sensitive
carbonate factory,Depositional System,Depositional System,Geological Process,Geological Process,NLD-sensitive
carbonate mound,Mound Unit,Mound Unit,Mound Unit,Mound Unit,Stable
carbonate platform,Depositional Unit,Depositional System,Depositional System,Depositional System,Multi-sensitive
carbonate reservoir,Sedimentary Geological Object,Sedimentary Geological Object,Sedimentary Geological Object,Sedimentary Geological Object,Stable
carbonate rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
clay,Sediment,Sediment,Sediment,Sediment,Stable
climate change,Geological Process,Geological Process,Geological Process,Geological Process,Stable
clinoform,Geological Boundary,Geological Boundary,Sedimentary Structure,Sedimentary Structure,NLD-sensitive
coquina,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
cretaceous,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
crystal shrub,Sedimentary Facies,Geological Structure,Geological Structure,Sedimentary Facies,Multi-sensitive
cyclothem,Depositional System,Depositional Unit,Depositional System,Sedimentary Structure,RAG-sensitive
deep lake,Depositional System,Depositional System,site,site,NLD-sensitive
deep water,site,site,site,site,Stable
deformation,Geological Process,Geological Process,Geological Process,Geological Process,Stable
depocenter,site,site,site,site,Stable
deposition,Geological Process,Geological Process,Geological Process,Geological Process,Stable
depositional facies,Sedimentary Facies,Sedimentary Facies,Sedimentary Facies,Sedimentary Facies,Stable
depositional model,generically dependent continuant,generically dependent continuant,generically dependent continuant,generically dependent continuant,Stable
depositional setting,site,site,Geological Process,site,NLD-sensitive
desiccation,Geological Process,Geological Process,Geological Process,Geological Process,Stable
diagenesis,Geological Process,Geological Process,Geological Process,Geological Process,Stable
dissolution,Geological Process,Geological Process,Geological Process,Geological Process,Stable
dolomite,Earth Material,Sedimentary Rock,Sedimentary Rock,Earth Material,Multi-sensitive
dolomitization,Geological Process,Geological Process,Geological Process,Geological Process,Stable
early cretaceous,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
economic basement,Geological Object,Geological Boundary,Geological Boundary,Geological Object,Multi-sensitive
erosion,Geological Process,Geological Process,Geological Process,Geological Process,Stable
erosional truncation,Geological Boundary,Geological Structure,Geological Process,Geological Boundary,Multi-sensitive
espírito santo basin,Depositional System,Depositional System,Geological Object,site,NLD-sensitive
evaporation,Geological Process,Geological Process,Geological Process,Geological Process,Stable
evaporite,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
evaporitic lake,Depositional System,site,Earth Fluid,Geological Object,Multi-sensitive
facies,Sedimentary Facies,Facies,Facies,Sedimentary Facies,Multi-sensitive
facies association,Facies Association,Facies Association,Facies Association,Facies Association,Stable
facies variation,Facies Association,Facies Association,Facies Association,Geological Structure,Compression-sensitive
fan delta,Depositional Unit,Depositional System,Depositional System,Depositional Unit,Multi-sensitive
fault,Geological Structure,Geological Structure,Geological Structure,Geological Structure,Stable
fault zone,Geological Structure,Geological Object,Geological Structure,Geological Structure,RAG-sensitive
flood basalt,Rock,Rock,Rock,Geological Object,Compression-sensitive
florianópolis high,Geological Structure,Geological Object,Geological Structure,Geological Object,RAG-sensitive
fracture,Geological Structure,Geological Structure,Geological Structure,Geological Structure,Stable
gas,Earth Fluid,Earth Fluid,Earth Fluid,Earth Fluid,Stable
geological record,generically dependent continuant,generically dependent continuant,object aggregate,generically dependent continuant,NLD-sensitive
gneiss,Rock,Rock,Rock,Rock,Stable
gondwana,Geological Object,Geological Object,Geological Object,Geological Object,Stable
graben,Geological Object,Geological Structure,Geological Object,Geological Object,RAG-sensitive
grainstone,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Sedimentary Rock,Stable
half-graben,Geological Structure,Geological Structure,Geological Object,Geological Object,NLD-sensitive
halite,Sedimentary Rock,Earth Material,Earth Material,Sedimentary Rock,Multi-sensitive
hanging wall,Geological Object,Geological Object,Geological Object,Geological Object,Stable
hauterivian,Geological Time Interval,Geological Time Interval,Geological Time Interval,Geological Time Interval,Stable
