Term,Target_Class,Mint_Parent,Original_Category,Original_Parent,Reason
santos basin,Basin,,Basin,passive-margin basin,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
campos basin,Basin,,Basin,passive-margin basin,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
pelotas basin,Basin,,Basin,passive-margin basin,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
kwanza basin,Basin,,Basin,Sedimentary Basin,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
espírito santo basin,Basin,,Basin,Marginal Sedimentary Basin,Proper-noun named basin; step 1 says this should be modeled as an instance of Basin.
namibe basin,Basin,,Basin,Marginal Sedimentary Basin,"Proper-noun named basin; NLD describes one specific marginal sedimentary basin, so model it as an instance (step 1)."
santos outer high,Geological Structure,,Body of Rock,structural high,"Proper-noun named regional high in the Santos Basin; NLD and relations describe one specific structure, not a reusable kind (step 1)."
florianópolis high,Geological Structure,,Body of Rock,structural high,"Proper-noun named structural high; NLD describes one unique basin-boundary feature, so convert to an instance (step 1)."
ribeira belt,Geological Structure,,Body of Rock,Body of Rock,"Proper-noun named orogenic belt; NLD describes one unique regional belt, so convert to an instance (step 1)."
Early Cretaceous Geologic Age,Geological Age,,Geological Age,Geological Age,"Early Cretaceous denotes one named subdivision of the Cretaceous, so it is an instance rather than a subclass (step 1)."
aptian,Geological Age,,Geological Age,Early Cretaceous Geologic Age,"Aptian is a single named geochronologic age/time span, so it should be modeled as an instance, not a subclass (step 1)."
hauterivian,Geological Age,,Geological Age,Early Cretaceous Geologic Age,"Hauterivian names one specific Early Cretaceous age used to date a unique interval, so convert it to an instance (step 1)."
barremian,Geological Age,,Geological Age,Early Cretaceous Geologic Age,"Barremian is explicitly a named chronostratigraphic stage/geochronologic age, i.e. one interval only, so make it an instance (step 1)."
valanginian,Geological Age,,Geological Age,Early Cretaceous Geologic Age,"Valanginian is a single named Early Cretaceous age marking one interval, so it belongs as an instance rather than a subclass (step 1)."
berriasian,Geological Age,,Geological Age,Early Cretaceous Geologic Age,"NLD names Berriasian as the earliest Cretaceous age/stage, i.e. one named interval only; convert to an instance (step 1)."
barra velha formation,Lithostratigraphic Unit,,Formation,Lithostratigraphic Unit,Proper-noun named formation; it denotes one specific lithostratigraphic unit rather than a repeatable class (step 1).
itapema formation,Formation,,Formation,Lithostratigraphic Unit,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
ariri formation,Formation,,Formation,Stratigraphic Unit,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
piçarras formation,Formation,,Formation,Syn-Rift Lithostratigraphic Unit,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
camboriú formation,Formation,,Formation,Stratigraphic Unit,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
macabu formation,Formation,,Formation,Lithostratigraphic Unit,"Proper-noun named formation; denotes one stratigraphic unit, so it should be an instance of Formation (step 1)."
coqueiros formation,Stratigraphic Unit,,Formation,Stratigraphic Formation,"proper-noun named formation; it denotes one formal unit, so model it as an instance, not a subclass (step 1)"
guarujá formation,Stratigraphic Unit,,Formation,Stratigraphic Formation,"proper-noun named formation; it denotes one formal unit, so model it as an instance, not a subclass (step 1)"
itanhaém formation,Lithostratigraphic Unit,,Formation,Lithostratigraphic Unit,"proper-noun named formation; the NLD says it is a lithostratigraphic unit, so treat it as an instance of that class (step 1)"
cabiúnas formation,Lithostratigraphic Unit,,Formation,Lithostratigraphic Unit,"proper-noun named formation; the NLD says it is a volcanic lithostratigraphic unit, so it should be an instance (step 1)"
itabapoana formation,Lithostratigraphic Unit,,Formation,Lithostratigraphic Unit,"proper-noun named formation; the NLD says it is a lithostratigraphic unit of the Lagoa Feia Group, so it is an instance (step 1)"
retiro formation,Formation,,Formation,Stratigraphic Formation,"proper-noun named formation; it denotes one specific geological unit, so step 1 converts it to an instance"
