Term,Category,Property,Property_IRI,Filler,Filler_Source,Confidence,Evidence,Validation_Status,Validation_Reason
aptian,Geological Time Interval,occurrent_part_of,http://purl.obolibrary.org/obo/BFO_0000132,early cretaceous,domain_term,1.0,Aptian is a geological age of the Early Cretaceous epoch,ACCEPTED,Valid.
campos basin,Basin,located_in,http://purl.obolibrary.org/obo/BFO_0000171,brazilian continental margin,domain_term,1.0,located on the southeastern Brazilian continental margin,ACCEPTED,Valid.
campos basin,Basin,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,breakup of gondwana,external,1.0,formed during the Early Cretaceous breakup of Gondwana,REJECTED,Unknown object category 'unknown'.
campos basin,Basin,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,early cretaceous,domain_term,1.0,formed during the Early Cretaceous,REJECTED,"Range violation: 'Geological Time Interval' has metatypes ['Occurrent', 'TemporalRegion'] which do not intersect allowed range ['Quality', 'RelationalQuality'] for 'has_age'."
fracture,Geological Structure,located_in,http://purl.obolibrary.org/obo/BFO_0000171,rock,domain_term,1.0,structural discontinuity in a rock,REJECTED,"Domain violation: 'Geological Structure' has metatypes ['Continuant', 'GenericallyDependentContinuant'] which do not intersect allowed domain ['ImmaterialEntity', 'IndependentContinuant', 'MaterialEntity', 'Object', 'Site'] for 'located_in'."
fracture,Geological Structure,generated_by,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000013,tectonic activity,domain_term,1.0,formed by tectonic or gravitational processes,REJECTED,"Domain violation: 'Geological Structure' has metatypes ['Continuant', 'GenericallyDependentContinuant'] which do not intersect allowed domain ['ImmaterialEntity', 'IndependentContinuant', 'MaterialEntity', 'Object', 'Site'] for 'generated_by'."
fracture,Geological Structure,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,cementation,domain_term,0.8,cemented by minerals such as silica,ACCEPTED,Valid.
fracture,Geological Structure,participates_in,http://purl.obolibrary.org/obo/BFO_0000056,dissolution,domain_term,1.0,may be enhanced by dissolution,ACCEPTED,Valid.
barra velha formation,Formation,has_age,https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000015,aptian,domain_term,1.0,is an Aptian-age stratigraphic unit,REJECTED,"Range violation: 'Geological Time Interval' has metatypes ['Occurrent', 'TemporalRegion'] which do not intersect allowed range ['Quality', 'RelationalQuality'] for 'has_age'."
barra velha formation,Formation,located_in,http://purl.obolibrary.org/obo/BFO_0000171,santos basin,domain_term,1.0,deposited during the late rift to sag phases of the Santos Basin,ACCEPTED,Valid.
