Term,RAG_Context_Used,Category,Reasoning,NLD
dissolution,True,Geological Process,The NLD explicitly describes dissolution as a diagenetic process that alters rock fabric and creates secondary porosity.,"Dissolution is a diagenetic process that removes soluble carbonate and Mg-clay components from pre-salt lacustrine rocks, generating secondary porosity and modifying the original depositional fabric. In the Brazilian Pre-Salt, it commonly affects Mg-claystones with spherulites, laminites, shrubs, and grainstones, producing vuggy, intragranular, and inter-framework pores, often more intensely in structural highs and thereby exerting a major control on reservoir quality."
fault,True,Geological Structure,"It is defined as a structural discontinuity with displacement in rock volumes, which matches a geological structure.","Fault is a structural discontinuity that accommodates relative displacement of rock volumes along a fracture surface or fault zone. In Brazilian Pre-Salt carbonate reservoirs, faults are commonly classified by length, orientation, and syn- or post-depositional age, and their fault-core and damage-zone architecture strongly controls fracture density, karstification, non-matrix porosity, and reservoir heterogeneity."
evaporite,True,Sedimentary Rock,The NLD directly identifies evaporite as a chemical sedimentary rock formed by mineral precipitation from brines.,"Evaporite is a chemical sedimentary rock that forms by the precipitation of soluble minerals from highly evaporated brines in strongly evaporative lacustrine or shallow-marine settings. In the Brazilian Pre-Salt, Aptian evaporites of the Ariri and Retiro formations consist mainly of halite and anhydrite, with locally sylvite and carnallite, and they form the thick regional stratigraphic seal over the carbonate reservoirs."
dolomite,True,Earth Material,"The NLD describes dolomite as a naturally occurring carbonate mineral phase, which fits solid Earth Material better than rock or structure.","Dolomite is a carbonate mineral that consists of calcium magnesium carbonate and commonly forms in Brazilian Pre-Salt lacustrine carbonates as a primary precipitate, a replacive diagenetic phase, or a pore-filling cement. In the Barra Velha and analogous pre-salt successions, it commonly occurs as rhombohedral, microcrystalline, lamellar, or saddle crystals, replacing calcite or Mg-clay and locally cementing pores, vugs, and fractures."
spherulite,True,Geological Object,"It is described as a discrete carbonate grain with its own shape and crystal aggregate structure, fitting a geological object.","Spherulite is a carbonate grain that consists of a spherical to sub-spherical aggregate of radiating fibro-radial calcite crystals, typically showing radial extinction in thin section. In the Barra Velha Formation, spherulites commonly range from about 0.1 to 4 mm in diameter, may contain nuclei of micrite, clay minerals, or rare ostracod fragments, and are commonly altered by dolomitization, recrystallization, or local silicification."
santos basin,True,Basin,"It is defined as an offshore sedimentary basin, a depressed site where sediments accumulated and that is bounded by structural highs.","Santos Basin is an offshore passive-margin sedimentary basin that occupies the southeastern Brazilian continental margin between the Campos and Pelotas basins and hosts major Brazilian Pre-Salt Aptian carbonate reservoirs. Covering about 350,000 km², it formed during the Early Cretaceous breakup of Gondwana and is bounded chiefly by the Cabo Frio High to the north, the Florianópolis Platform to the south, the Santos hinge line to the west, and the São Paulo Plateau to the east."
barra velha formation,True,Formation,It is explicitly described as a formal Aptian lacustrine carbonate lithostratigraphic unit within the Santos Basin.,"Barra Velha Formation is an Aptian lacustrine carbonate lithostratigraphic unit that forms the upper pre-salt succession of the Santos Basin and is characterized by shrub- and spherulite-rich carbonates, dolostones, intraclastic grainstones and rudstones, and Mg-rich claystones deposited in a shallow alkaline lake system. It overlies the Itapema Formation across the Pre-Alagoas Unconformity, is internally divided by the Intra-Alagoas Unconformity into rift and sag intervals, and is capped by the Ariri evaporites."
aptian,True,Geological Age,It is explicitly identified as an Early Cretaceous geologic age used to date the main pre-salt depositional interval.,"Aptian is an Early Cretaceous geologic age that corresponds, in the South Atlantic pre-salt context, to the interval of widespread lacustrine carbonate deposition followed by emplacement of a regionally extensive evaporite cover. In Brazilian pre-salt studies, the term commonly designates the time span of the main pre-salt sag deposits and associated salt succession across basins such as Santos and Campos."
porosity,True,quality,It describes an inhering petrophysical property of rock that measures the fraction of void space available to store fluids.,"Porosity is a petrophysical property that quantifies the volume fraction of void space in a rock available to contain fluids. In Brazilian pre-salt carbonate reservoirs, it occurs as pore systems such as vuggy, moldic, interparticle, intraparticle, intercrystalline, and microfracture porosity, and it is strongly controlled by depositional texture and diagenetic processes such as dissolution, cementation, and silicification."
campos basin,True,Basin,"It is defined as a passive-margin sedimentary basin, i.e., a depositional site where sediments accumulated on the Brazilian margin.","Campos Basin is a passive-margin sedimentary basin that occupies the southeastern Brazilian margin between the Vitória High to the north and the Cabo Frio High to the south, having formed during Late Jurassic–Early Cretaceous rifting related to the breakup of Gondwana. Extending mainly offshore Rio de Janeiro and southern Espírito Santo, it contains major pre-salt lacustrine carbonate reservoirs and has been one of Brazil’s most important oil- and gas-producing basins."
itapema formation,True,Formation,It is explicitly defined as a named pre-salt lithostratigraphic unit of formation rank within the Santos Basin succession.,"Itapema Formation is a pre-salt lacustrine lithostratigraphic unit that consists of interbedded mollusk-rich coquinas, bioclastic carbonate facies, and dark shale to mudstone deposited during the upper rift stage of the Santos Basin. In the Brazilian Pre-Salt, it commonly combines shell-rich reservoir intervals with organic-rich Jiquiá shales of source-rock potential and lies beneath the Barra Velha Formation, between the Jiquiá/Buracica and Pré-Alagoas unconformities."
