Term,NLD,Context_Used
santos basin,"Santos Basin is an offshore passive-margin sedimentary basin that occupies the southeastern Brazilian continental margin between the Campos and Pelotas basins and hosts major Brazilian Pre-Salt Aptian carbonate reservoirs. Covering about 350,000 km², it formed during the Early Cretaceous breakup of Gondwana and is bounded chiefly by the Cabo Frio High to the north, the Florianópolis Platform to the south, the Santos hinge line to the west, and the São Paulo Plateau to the east.",True
barra velha formation,"Barra Velha Formation is an Aptian lacustrine carbonate lithostratigraphic unit that forms the upper pre-salt succession of the Santos Basin and is characterized by shrub- and spherulite-rich carbonates, dolostones, intraclastic grainstones and rudstones, and Mg-rich claystones deposited in a shallow alkaline lake system. It overlies the Itapema Formation across the Pre-Alagoas Unconformity, is internally divided by the Intra-Alagoas Unconformity into rift and sag intervals, and is capped by the Ariri evaporites.",True
aptian,"Aptian is an Early Cretaceous geologic age that corresponds, in the South Atlantic pre-salt context, to the interval of widespread lacustrine carbonate deposition followed by emplacement of a regionally extensive evaporite cover. In Brazilian pre-salt studies, the term commonly designates the time span of the main pre-salt sag deposits and associated salt succession across basins such as Santos and Campos.",True
porosity,"Porosity is a petrophysical property that quantifies the volume fraction of void space in a rock available to contain fluids. In Brazilian pre-salt carbonate reservoirs, it occurs as pore systems such as vuggy, moldic, interparticle, intraparticle, intercrystalline, and microfracture porosity, and it is strongly controlled by depositional texture and diagenetic processes such as dissolution, cementation, and silicification.",True
campos basin,"Campos Basin is a passive-margin sedimentary basin that occupies the southeastern Brazilian margin between the Vitória High to the north and the Cabo Frio High to the south, having formed during Late Jurassic–Early Cretaceous rifting related to the breakup of Gondwana. Extending mainly offshore Rio de Janeiro and southern Espírito Santo, it contains major pre-salt lacustrine carbonate reservoirs and has been one of Brazil’s most important oil- and gas-producing basins.",True
itapema formation,"Itapema Formation is a pre-salt lacustrine lithostratigraphic unit that consists of interbedded mollusk-rich coquinas, bioclastic carbonate facies, and dark shale to mudstone deposited during the upper rift stage of the Santos Basin. In the Brazilian Pre-Salt, it commonly combines shell-rich reservoir intervals with organic-rich Jiquiá shales of source-rock potential and lies beneath the Barra Velha Formation, between the Jiquiá/Buracica and Pré-Alagoas unconformities.",True
permeability,"Permeability is a petrophysical property that quantifies a reservoir rock’s ability to transmit fluids through its interconnected pore system. In Brazilian Pre-Salt carbonate reservoirs, it is often highly heterogeneous because flow may occur through both the rock matrix and high-permeability features such as fractures, vugs, and caves. As a result, permeability is a key parameter for estimating flow capacity and production potential, and it can be strongly underestimated if thin highly permeable layers are not resolved.",True
grainstone,"Grainstone is a grain-supported carbonate facies that lacks mud matrix and, in the Barra Velha Formation, is distinguished from spherulitestone by containing more than 50% reworked components. In the Brazilian pre-salt, it commonly comprises reworked shrubs and spherulitestone fragments, peloids, spherulites, volcanic clasts, ooids, and bioclasts, and typically occurs as coarse, tightly packed beds with variable sorting and common fining-upward patterns produced by high-energy lacustrine shoreline reworking.",True
carbonate reservoir,"Carbonate reservoir is a hydrocarbon reservoir that is hosted in carbonate rocks and whose porosity and permeability are controlled by highly heterogeneous depositional facies, diagenetic alteration, and structural compartmentalization. In the Brazilian Pre-Salt, these reservoirs are commonly lacustrine Aptian carbonates in which secondary dissolution porosity is often critical to reservoir quality, while facies variation, cementation, faults, and hydrothermal influences can create abrupt vertical and lateral permeability contrasts.",True
ariri formation,"Ariri Formation is an Upper Aptian evaporitic stratigraphic unit that caps the Barra Velha Formation and provides the regional seal for the Brazilian pre-salt petroleum system. In the Santos Basin it is dominated by basal anhydrite and thick halite, with interlayers of more soluble potassium- and magnesium-bearing salts such as carnallite, tachyhydrite, and sylvite, and locally reaches about 2 to 2.65 km in thickness.",True
dissolution,"Dissolution is a diagenetic process that removes soluble carbonate and Mg-clay components from pre-salt lacustrine rocks, generating secondary porosity and modifying the original depositional fabric. In the Brazilian Pre-Salt, it commonly affects Mg-claystones with spherulites, laminites, shrubs, and grainstones, producing vuggy, intragranular, and inter-framework pores, often more intensely in structural highs and thereby exerting a major control on reservoir quality.",True
fault,"Fault is a structural discontinuity that accommodates relative displacement of rock volumes along a fracture surface or fault zone. In Brazilian Pre-Salt carbonate reservoirs, faults are commonly classified by length, orientation, and syn- or post-depositional age, and their fault-core and damage-zone architecture strongly controls fracture density, karstification, non-matrix porosity, and reservoir heterogeneity.",True
