Term,Base_Class,Property,Filler,Rationale,Original_Parent,Original_Category
wave base,Sedimentary Environment,has_quality,wave-base depth threshold,"best handled as an environmental depth threshold parameter used to partition facies, not as a standalone core dimension class",Dimension,Dimension
depocenter,structural low,has_role,depocenter role,captures the interval-relative status of a structural low as the locus of maximum accommodation and sediment accumulation,structural low,Basin
fracture zone,structural domain,has_quality,high fracture intensity,"The term is chiefly an intensity-based refinement of a structural domain, identified by concentrated fractures relative to surrounding rock rather than by a distinct core structure type.",Body of Rock,Body of Rock
hybrid form,Carbonate Grain,has_quality,spherulite-shrub hybrid morphology,the term mainly captures a transitional morphological appearance between established end-member object kinds rather than a core reusable grain class,Carbonate Grain,Geological Object
talc-stevensite ooid,ooid,constituted_by,stevensite/talc/kerolite-dominant composition,This is mainly an ooid distinguished by unusual mineral constitution; the core can capture the distinction with composition assertions rather than a dedicated subclass.,ooid,Geological Object
carbonate dissolution,dissolution,has_participant,carbonate rock,"the distinction is chiefly about which material participates in the dissolution event, so it is better treated as a participant facet on dissolution",dissolution,Geological Process
matrix dissolution,dissolution,has_participant,micritic or Mg-clay matrix,"the differentiator is the dissolved component of the rock matrix, so this is better treated as a target-of-dissolution facet than as a core process kind",dissolution,Geological Process
aggradation,Stratigraphic Unit,has_quality,aggradational stacking pattern,the NLD presents aggradation chiefly as a stacking/architectural style of deposits rather than an indispensable reusable process kind,Geological Process,Geological Process
rift fault,normal fault,generated_by,rift-related crustal extension,the term mainly adds tectonic-setting/genetic context to a normal fault rather than introducing a separate core structural kind,normal fault,Geological Structure
microfracture,fracture,has_quality,microscale size,"the distinction is chiefly a size-scale refinement of fracture, not a separate core structural kind",fracture,Geological Structure
growth framework porosity,primary porosity,has_quality,growth-framework-associated,"useful fabric-specific refinement of primary porosity, but too host-fabric-specific for the lean core",primary porosity,Geological Structure
calcite shrub,shrub,constituted_by,calcite,the NLD makes this a shrub-like growth structure differentiated mainly by mineral composition,Geological Structure,Geological Structure
rhombohedral dolomite,dolomite,has_quality,rhombohedral crystal habit,"the distinguishing signal in the NLD is crystal shape/fabric, not a core standalone structure type",Geological Structure,Geological Structure
tholeiitic basalt,basalt,has_quality,tholeiitic geochemical affinity,"The added content is a magma-series/compositional refinement of basalt; useful to record, but too narrow for the lean core class hierarchy.",basalt,Rock
transitional environment,Sedimentary Environment,has_quality,transitional position between adjacent environments,the distinction is mainly a relative positional and intermediate-conditions facet rather than a core reusable kind,Depositional Setting,Sedimentary Environment
spherulitic shrubstone,shrubstone,has_continuant_part,spherulite,"This is mainly a compositional refinement of shrubstone distinguished by subordinate spherulites and mud threshold, not a core facies kind.",In Situ Lacustrine Carbonate Facies,Sedimentary Facies
shrubby spherulitestone,spherulitestone,has_continuant_part,calcite shrub,"This is mainly a compositional refinement of spherulitestone based on shrubby admixture and quantitative thresholds, not a core reusable kind.",In Situ Lacustrine Carbonate Facies,Sedimentary Facies
spherulitic mudstone,mudstone,has_continuant_part,spherulite,"useful facies description, but the class is mainly mudstone qualified by dispersed spherulitic content; the sub-70% cutoff is a descriptive threshold rather than core branch structure",lithofacies,Sedimentary Facies
laminated mudstone,mudstone,has_continuant_part,lamination,"the distinguishing feature is lamination, so in a lean core this is better represented as mudstone qualified by a sedimentary structure",lithofacies,Sedimentary Facies
